//Index   Level   Grade   Option0   Option1   Option2   Option3   Option4   Option5   Option6   Duration   MapNumber   MonsterClass   MonsterLevelMin   MonsterLevelMax   DropRate   Comment
6159      0       0       *         *         *         *         *         *         *         0          *           *              12                150               1000       //Jewel of Chaos
6176      0       0       *         *         *         *         *         *         *         0          *           *              12                49                0          //Box of Red Ribbon
6177      0       0       *         *         *         *         *         *         *         0          *           *              50                69                0          //Box of Green Ribbon
6178      0       0       *         *         *         *         *         *         *         0          *           *              70                97                0          //Box of Blue Ribbon
6214      0       0       *         *         *         *         *         *         *         0          *           *              58                76                1000       //Sphere (Mono)    
6215      0       0       *         *         *         *         *         *         *         0          *           *              77                101               1000       //Sphere (Di)
6216      0       0       *         *         *         *         *         *         *         0          *           *              102               150               1000       //Sphere (Tri)
6288      0       0       *         *         *         *         *         *         *         0          91          *              88                150               5000       //Mithril Fragment
6290      0       0       *         *         *         *         *         *         *         0          91          *              88                150               2500       //Elixir Fragment
6294      0       0       *         *         *         *         *         *         *         0          91          *              88                150               1000       //Jewel Combination Frame
6295      0       0       *         *         *         *         *         *         *         0          91          *              88                150               1000       //Spirit Powder
6344      0       0       *         *         *         *         *         *         5         0          *           18             *                 *                 5000       //Muren's Book of Magic
6344      0       0       *         *         *         *         *         *         5         0          *           25             *                 *                 5000       //Muren's Book of Magic
6344      0       0       *         *         *         *         *         *         5         0          *           38             *                 *                 5000       //Muren's Book of Magic
6344      0       0       *         *         *         *         *         *         5         0          *           49             *                 *                 5000       //Muren's Book of Magic
6344      0       0       *         *         *         *         *         *         5         0          *           77             *                 *                 5000       //Muren's Book of Magic
6344      0       0       *         *         *         *         *         *         5         0          *           309            *                 *                 5000       //Muren's Book of Magic
6344      0       0       *         *         *         *         *         *         5         0          *           586            *                 *                 1000       //Muren's Book of Magic
6344      0       0       *         *         *         *         *         *         5         0          *           587            *                 *                 1000       //Muren's Book of Magic
6344      0       0       *         *         *         *         *         *         5         0          *           588            *                 *                 1000       //Muren's Book of Magic
6344      0       0       *         *         *         *         *         *         5         0          *           589            *                 *                 1000       //Muren's Book of Magic
6344      0       0       *         *         *         *         *         *         5         0          *           590            *                 *                 1000       //Muren's Book of Magic
6344      0       0       *         *         *         *         *         *         5         0          *           591            *                 *                 1000       //Muren's Book of Magic
6345      0       0       *         *         *         *         *         *         5         0          *           18             *                 *                 1000       //Scroll of Etramu
6345      0       0       *         *         *         *         *         *         5         0          *           25             *                 *                 1000       //Scroll of Etramu
6345      0       0       *         *         *         *         *         *         5         0          *           38             *                 *                 1000       //Scroll of Etramu
6345      0       0       *         *         *         *         *         *         5         0          *           49             *                 *                 1000       //Scroll of Etramu
6345      0       0       *         *         *         *         *         *         5         0          *           77             *                 *                 1000       //Scroll of Etramu
6345      0       0       *         *         *         *         *         *         5         0          *           309            *                 *                 1000       //Scroll of Etramu
6345      0       0       *         *         *         *         *         *         5         0          *           586            *                 *                 1000       //Scroll of Etramu
6345      0       0       *         *         *         *         *         *         5         0          *           587            *                 *                 1000       //Scroll of Etramu
6345      0       0       *         *         *         *         *         *         5         0          *           588            *                 *                 1000       //Scroll of Etramu
6345      0       0       *         *         *         *         *         *         5         0          *           589            *                 *                 1000       //Scroll of Etramu
6345      0       0       *         *         *         *         *         *         5         0          *           590            *                 *                 1000       //Scroll of Etramu
6345      0       0       *         *         *         *         *         *         5         0          *           591            *                 *                 1000       //Scroll of Etramu
6346      0       0       *         *         *         *         *         *         5         0          *           608            *                 *                 50         //Lorencia Knights' Iron Shield
6346      0       0       *         *         *         *         *         *         5         0          *           609            *                 *                 50         //Lorencia Knights' Iron Shield
6346      0       0       *         *         *         *         *         *         5         0          *           610            *                 *                 50         //Lorencia Knights' Iron Shield
6347      0       0       *         *         *         *         *         *         5         0          *           592            *                 *                 100        //Iron Shield of the Magic
6347      0       0       *         *         *         *         *         *         5         0          *           595            *                 *                 100        //Iron Shield of the Magic
6347      0       0       *         *         *         *         *         *         5         0          *           608            *                 *                 20         //Iron Shield of the Magic
6347      0       0       *         *         *         *         *         *         5         0          *           609            *                 *                 20         //Iron Shield of the Magic
6347      0       0       *         *         *         *         *         *         5         0          *           610            *                 *                 20         //Iron Shield of the Magic
6348      0       0       *         *         *         *         *         *         5         0          *           608            *                 *                 50         //Hero Elixir
6348      0       0       *         *         *         *         *         *         5         0          *           609            *                 *                 50         //Hero Elixir
6348      0       0       *         *         *         *         *         *         5         0          *           610            *                 *                 50         //Hero Elixir
6349      0       0       *         *         *         *         *         *         5         0          *           593            *                 *                 100        //Brave Hero Elixir
6349      0       0       *         *         *         *         *         *         5         0          *           596            *                 *                 100        //Brave Hero Elixir
6349      0       0       *         *         *         *         *         *         5         0          *           608            *                 *                 20         //Brave Hero Elixir
6349      0       0       *         *         *         *         *         *         5         0          *           609            *                 *                 20         //Brave Hero Elixir
6349      0       0       *         *         *         *         *         *         5         0          *           610            *                 *                 20         //Brave Hero Elixir
6350      0       0       *         *         *         *         *         *         5         0          *           608            *                 *                 50         //Gladiator's Dagger
6350      0       0       *         *         *         *         *         *         5         0          *           609            *                 *                 50         //Gladiator's Dagger
6350      0       0       *         *         *         *         *         *         5         0          *           610            *                 *                 50         //Gladiator's Dagger
6351      0       0       *         *         *         *         *         *         5         0          *           594            *                 *                 100        //Merciless Gladiator's Dagger
6351      0       0       *         *         *         *         *         *         5         0          *           608            *                 *                 20         //Merciless Gladiator's Dagger
6351      0       0       *         *         *         *         *         *         5         0          *           609            *                 *                 20         //Merciless Gladiator's Dagger
6351      0       0       *         *         *         *         *         *         5         0          *           610            *                 *                 20         //Merciless Gladiator's Dagger
6352      0       0       *         *         *         *         *         *         5         0          *           611            *                 *                 50         //Kundun's Madness Blade
6352      0       0       *         *         *         *         *         *         5         0          *           612            *                 *                 50         //Kundun's Madness Blade
6352      0       0       *         *         *         *         *         *         5         0          *           613            *                 *                 50         //Kundun's Madness Blade
6352      0       0       *         *         *         *         *         *         5         0          *           614            *                 *                 50         //Kundun's Madness Blade
6352      0       0       *         *         *         *         *         *         5         0          *           615            *                 *                 50         //Kundun's Madness Blade
6353      0       0       *         *         *         *         *         *         5         0          *           611            *                 *                 50         //Kundun's Magic Spell Scroll
6353      0       0       *         *         *         *         *         *         5         0          *           612            *                 *                 50         //Kundun's Magic Spell Scroll
6353      0       0       *         *         *         *         *         *         5         0          *           613            *                 *                 50         //Kundun's Magic Spell Scroll
6353      0       0       *         *         *         *         *         *         5         0          *           614            *                 *                 50         //Kundun's Magic Spell Scroll
6353      0       0       *         *         *         *         *         *         5         0          *           615            *                 *                 50         //Kundun's Magic Spell Scroll
6354      0       0       *         *         *         *         *         *         5         0          *           611            *                 *                 50         //Empire Guardians' Stronghold
6354      0       0       *         *         *         *         *         *         5         0          *           612            *                 *                 50         //Empire Guardians' Stronghold
6354      0       0       *         *         *         *         *         *         5         0          *           613            *                 *                 50         //Empire Guardians' Stronghold
6354      0       0       *         *         *         *         *         *         5         0          *           614            *                 *                 50         //Empire Guardians' Stronghold
6354      0       0       *         *         *         *         *         *         5         0          *           615            *                 *                 50         //Empire Guardians' Stronghold
6355      0       0       *         *         *         *         *         *         5         0          *           611            *                 *                 50         //Ancient Icarus Scroll
6355      0       0       *         *         *         *         *         *         5         0          *           612            *                 *                 50         //Ancient Icarus Scroll
6355      0       0       *         *         *         *         *         *         5         0          *           613            *                 *                 50         //Ancient Icarus Scroll
6355      0       0       *         *         *         *         *         *         5         0          *           614            *                 *                 50         //Ancient Icarus Scroll
6355      0       0       *         *         *         *         *         *         5         0          *           615            *                 *                 50         //Ancient Icarus Scroll
6670      0       0       *         *         *         *         *         *         *         0          10          *              25                150               1000       //Loch's Feather  
6670      1       0       *         *         *         *         *         *         *         0          10          *              25                150               1000       //Monarch's Crest 
6672      1       0       *         *         *         *         *         *         *         0          *           *              1                 32                1000       //Scroll of Archangel 1
6672      2       0       *         *         *         *         *         *         *         0          *           *              33                45                1000       //Scroll of Archangel 2
6672      3       0       *         *         *         *         *         *         *         0          *           *              46                57                1000       //Scroll of Archangel 3
6672      4       0       *         *         *         *         *         *         *         0          *           *              58                68                1000       //Scroll of Archangel 4
6672      5       0       *         *         *         *         *         *         *         0          *           *              69                76                1000       //Scroll of Archangel 5
6672      6       0       *         *         *         *         *         *         *         0          *           *              77                84                1000       //Scroll of Archangel 6
6672      7       0       *         *         *         *         *         *         *         0          *           *              85                101               1000       //Scroll of Archangel 7
6673      1       0       *         *         *         *         *         *         *         0          *           *              1                 32                1000       //Blood Bone 1
6673      2       0       *         *         *         *         *         *         *         0          *           *              33                45                1000       //Blood Bone 2
6673      3       0       *         *         *         *         *         *         *         0          *           *              46                57                1000       //Blood Bone 3
