//Index   OptionIndex   OptionValue   ItemMinIndex   ItemMaxIndex   ItemOption1   ItemOption2   ItemOption3   ItemNewOption   Comment
0         0             0             0000           2559           1             *             *             *               //General Weapon
1         84            5             0000           2559           *             1             *             *               //General Weapon
2         80            4             0000           2559           *             *             1             *               //General Weapon
3         99            12            0000           2559           *             *             *             1               //General Weapon
4         98            12            0000           2559           *             *             *             2               //General Weapon
5         97            7             0000           2559           *             *             *             4               //General Weapon
6         94            2             0000           2559           *             *             *             8               //General Weapon
7         93            20            0000           2559           *             *             *             16              //General Weapon
8         92            10            0000           2559           *             *             *             32              //General Weapon
1         84            5             2560           2579           *             1             *             *               //General Staff
2         81            4             2560           2579           *             *             1             *               //General Staff
3         99            12            2560           2579           *             *             *             1               //General Staff
4         98            12            2560           2579           *             *             *             2               //General Staff
5         97            7             2560           2579           *             *             *             4               //General Staff
6         96            2             2560           2579           *             *             *             8               //General Staff
7         95            20            2560           2579           *             *             *             16              //General Staff
8         92            10            2560           2579           *             *             *             32              //General Staff
0         0             0             2580           2589           *             *             *             *               //General Book
1         84            5             2580           2589           *             1             *             *               //General Book
2         113           4             2580           2589           *             *             1             *               //General Book
3         99            12            2580           2589           *             *             *             1               //General Book
4         98            12            2580           2589           *             *             *             2               //General Book
5         97            7             2580           2589           *             *             *             4               //General Book
6         115           2             2580           2589           *             *             *             8               //General Book
7         114           20            2580           2589           *             *             *             16              //General Book
8         92            10            2580           2589           *             *             *             32              //General Book
1         84            5             2590           3071           *             1             *             *               //General Staff
2         81            4             2590           3071           *             *             1             *               //General Staff
3         99            12            2590           3071           *             *             *             1               //General Staff
4         98            12            2590           3071           *             *             *             2               //General Staff
5         97            7             2590           3071           *             *             *             4               //General Staff
6         96            2             2590           3071           *             *             *             8               //General Staff
7         95            20            2590           3071           *             *             *             16              //General Staff
8         92            10            2590           3071           *             *             *             32              //General Staff
0         0             0             3072           3583           1             *             *             *               //General Shield
1         84            5             3072           3583           *             1             *             *               //General Shield
2         82            5             3072           3583           *             *             1             *               //General Shield
3         86            30            3072           3583           *             *             *             1               //General Shield
4         87            10            3072           3583           *             *             *             2               //General Shield
5         88            5             3072           3583           *             *             *             4               //General Shield
6         89            4             3072           3583           *             *             *             8               //General Shield
7         90            4             3072           3583           *             *             *             16              //General Shield
8         91            4             3072           3583           *             *             *             32              //General Shield
1         84            5             3584           6143           *             1             *             *               //General Armor
2         83            4             3584           6143           *             *             1             *               //General Armor
3         86            30            3584           6143           *             *             *             1               //General Armor
4         87            10            3584           6143           *             *             *             2               //General Armor
5         88            5             3584           6143           *             *             *             4               //General Armor
6         89            4             3584           6143           *             *             *             8               //General Armor
7         90            4             3584           6143           *             *             *             16              //General Armor
8         91            4             3584           6143           *             *             *             32              //General Armor
1         84            5             6144           6144           *             1             *             *               //Wings of Fairy
2         85            1             6144           6144           *             *             1             *               //Wings of Fairy
1         84            5             6145           6145           *             1             *             *               //Wings of Angel
2         81            4             6145           6145           *             *             1             *               //Wings of Angel
1         84            5             6146           6146           *             1             *             *               //Wings of Satan
2         80            4             6146           6146           *             *             1             *               //Wings of Satan
1         84            5             6147           6147           *             1             *             *               //Wings of Spirit
2         80            4             6147           6147           *             *             1             *               //Wings of Spirit
2         85            1             6147           6147           *             *             1             32              //Wings of Spirit
3         100           5             6147           6147           *             *             *             1               //Wings of Spirit
