0
//Section    Type   Option1   Option2  Option3   Option4  Option5    Option6   BonusOption    OptionRate   LuckRate   SkillRate
0	     42	    0	      3	       *	 *	  *	     *	       *	      40000	   500000     1000000
0	     42	    0	      3	       *	 *	  *	     *	       1	      40000	   500000     1000000
0	     42	    0	      3	       *	 *	  *	     *	       2	      40000	   500000     1000000
0	     42	    0	      3	       *	 *	  *	     *	       3	      40000	   500000     1000000
0	     42	    0	      6	       *	 *	  *	     *	       *	      40000	   500000     1000000
0	     42	    0	      6	       *	 *	  *	     *	       1	      40000	   500000     1000000
0	     42	    0	      6	       *	 *	  *	     *	       2	      40000	   500000     1000000
0	     42	    0	      6	       *	 *	  *	     *	       3	      40000	   500000     1000000
0	     42	    0	      7	       *	 *	  *	     *	       *	      40000	   500000     1000000
0	     42	    0	      7	       *	 *	  *	     *	       1	      40000	   500000     1000000
0	     42	    0	      7	       *	 *	  *	     *	       2	      40000	   500000     1000000
0	     42	    0	      7	       *	 *	  *	     *	       3	      40000	   500000     1000000
0	     42	    0	      4	       *	 *	  *	     *	       *	      40000	   500000     1000000
0	     42	    0	      4	       *	 *	  *	     *	       1	      40000	   500000     1000000
0	     42	    0	      4	       *	 *	  *	     *	       2	      40000	   500000     1000000
0	     42	    0	      4	       *	 *	  *	     *	       3	      40000	   500000     1000000
0	     42	    0	      5	       *	 *	  *	     *	       *	      40000	   500000     1000000
0	     42	    0	      5	       *	 *	  *	     *	       1	      40000	   500000     1000000
0	     42	    0	      5	       *	 *	  *	     *	       2	      40000	   500000     1000000
0	     42	    0	      5	       *	 *	  *	     *	       3	      40000	   500000     1000000
0	     42	    0	      3	       6	 *	  *	     *	       *	      80000	   500000     1000000
0	     42	    0	      3	       6	 *	  *	     *	       1	      40000	   500000     1000000
0	     42	    0	      3	       6	 *	  *	     *	       2	      40000	   500000     1000000
0	     42	    0	      3	       6	 *	  *	     *	       3	      40000	   500000     1000000
0	     57	    0	      3	       *	 *	  *	     *	       *	      40000	   500000     1000000
0	     57	    0	      3	       *	 *	  *	     *	       1	      40000	   500000     1000000
0	     57	    0	      3	       *	 *	  *	     *	       2	      40000	   500000     1000000
0	     57	    0	      3	       *	 *	  *	     *	       3	      40000	   500000     1000000
0	     57	    0	      6	       *	 *	  *	     *	       *	      40000	   500000     1000000
0	     57	    0	      6	       *	 *	  *	     *	       1	      40000	   500000     1000000
0	     57	    0	      6	       *	 *	  *	     *	       2	      40000	   500000     1000000
0	     57	    0	      6	       *	 *	  *	     *	       3	      40000	   500000     1000000
0	     57	    0	      7	       *	 *	  *	     *	       *	      40000	   500000     1000000
0	     57	    0	      7	       *	 *	  *	     *	       1	      40000	   500000     1000000
0	     57	    0	      7	       *	 *	  *	     *	       2	      40000	   500000     1000000
0	     57	    0	      7	       *	 *	  *	     *	       3	      40000	   500000     1000000
0	     57	    0	      4	       *	 *	  *	     *	       *	      40000	   500000     1000000
0	     57	    0	      4	       *	 *	  *	     *	       1	      40000	   500000     1000000
0	     57	    0	      4	       *	 *	  *	     *	       2	      40000	   500000     1000000
0	     57	    0	      4	       *	 *	  *	     *	       3	      40000	   500000     1000000
0	     57	    0	      5	       *	 *	  *	     *	       *	      40000	   500000     1000000
0	     57	    0	      5	       *	 *	  *	     *	       1	      40000	   500000     1000000
0	     57	    0	      5	       *	 *	  *	     *	       2	      40000	   500000     1000000
0	     57	    0	      5	       *	 *	  *	     *	       3	      40000	   500000     1000000
0	     57	    0	      3	       6	 *	  *	     *	       *	      80000	   500000     1000000
0	     57	    0	      3	       6	 *	  *	     *	       1	      40000	   500000     1000000
0	     57	    0	      3	       6	 *	  *	     *	       2	      40000	   500000     1000000
0	     57	    0	      3	       6	 *	  *	     *	       3	      40000	   500000     1000000
0	     44	    0	      3	       *	 *	  *	     *	       *	      40000	   500000     1000000
0	     44	    0	      3	       *	 *	  *	     *	       1	      40000	   500000     1000000
0	     44	    0	      3	       *	 *	  *	     *	       2	      40000	   500000     1000000
0	     44	    0	      3	       *	 *	  *	     *	       3	      40000	   500000     1000000
0	     44	    0	      6	       *	 *	  *	     *	       *	      40000	   500000     1000000
0	     44	    0	      6	       *	 *	  *	     *	       1	      40000	   500000     1000000
0	     44	    0	      6	       *	 *	  *	     *	       2	      40000	   500000     1000000
0	     44	    0	      6	       *	 *	  *	     *	       3	      40000	   500000     1000000
0	     44	    0	      7	       *	 *	  *	     *	       *	      40000	   500000     1000000
0	     44	    0	      7	       *	 *	  *	     *	       1	      40000	   500000     1000000
0	     44	    0	      7	       *	 *	  *	     *	       2	      40000	   500000     1000000
0	     44	    0	      7	       *	 *	  *	     *	       3	      40000	   500000     1000000
0	     44	    0	      4	       *	 *	  *	     *	       *	      40000	   500000     1000000
0	     44	    0	      4	       *	 *	  *	     *	       1	      40000	   500000     1000000
0	     44	    0	      4	       *	 *	  *	     *	       2	      40000	   500000     1000000
0	     44	    0	      4	       *	 *	  *	     *	       3	      40000	   500000     1000000
0	     44	    0	      5	       *	 *	  *	     *	       *	      40000	   500000     1000000
0	     44	    0	      5	       *	 *	  *	     *	       1	      40000	   500000     1000000
0	     44	    0	      5	       *	 *	  *	     *	       2	      40000	   500000     1000000
0	     44	    0	      5	       *	 *	  *	     *	       3	      40000	   500000     1000000
0	     44	    0	      3	       6	 *	  *	     *	       *	      80000	   500000     1000000
0	     44	    0	      3	       6	 *	  *	     *	       1	      40000	   500000     1000000
0	     44	    0	      3	       6	 *	  *	     *	       2	      40000	   500000     1000000
0	     44	    0	      3	       6	 *	  *	     *	       3	      40000	   500000     1000000
0	     58	    0	      3	       *	 *	  *	     *	       *	      40000	   500000     1000000
0	     58	    0	      3	       *	 *	  *	     *	       1	      40000	   500000     1000000
0	     58	    0	      3	       *	 *	  *	     *	       2	      40000	   500000     1000000
0	     58	    0	      3	       *	 *	  *	     *	       3	      40000	   500000     1000000
0	     58	    0	      6	       *	 *	  *	     *	       *	      40000	   500000     1000000
0	     58	    0	      6	       *	 *	  *	     *	       1	      40000	   500000     1000000
0	     58	    0	      6	       *	 *	  *	     *	       2	      40000	   500000     1000000
0	     58	    0	      6	       *	 *	  *	     *	       3	      40000	   500000     1000000
0	     58	    0	      7	       *	 *	  *	     *	       *	      40000	   500000     1000000
0	     58	    0	      7	       *	 *	  *	     *	       1	      40000	   500000     1000000
0	     58	    0	      7	       *	 *	  *	     *	       2	      40000	   500000     1000000
0	     58	    0	      7	       *	 *	  *	     *	       3	      40000	   500000     1000000
0	     58	    0	      4	       *	 *	  *	     *	       *	      40000	   500000     1000000
0	     58	    0	      4	       *	 *	  *	     *	       1	      40000	   500000     1000000
0	     58	    0	      4	       *	 *	  *	     *	       2	      40000	   500000     1000000
0	     58	    0	      4	       *	 *	  *	     *	       3	      40000	   500000     1000000
0	     58	    0	      5	       *	 *	  *	     *	       *	      40000	   500000     1000000
0	     58	    0	      5	       *	 *	  *	     *	       1	      40000	   500000     1000000
