//MapN   MapSX   MapSY   MapTX   MapTY   MinLevel   MaxLevel   MinReset   MaxReset   AccountLevel
0        1       1       255     255     1          *          *          *          0
1        1       1       255     255     1          *          *          *          0
2        1       1       255     255     1          *          *          *          0
3        1       1       255     255     1          *          *          *          0
4        1       1       255     255     1          *          *          *          0
6        1       1       255     255     1          *          *          *          0
7        1       1       255     255     1          *          *          *          0
8        1       1       255     255     1          *          *          *          0
10       1       1       255     255     1          *          *          *          0
30       1       1       255     255     1          *          *          *          0
33       1       1       255     255     1          *          *          *          0
34       1       1       255     255     1          *          *          *          0
37       1       1       255     255     1          *          *          *          0
38       1       1       255     255     1          *          *          *          0
41       1       1       255     255     1          *          *          *          0
42       1       1       255     255     1          *          *          *          0
51       1       1       255     255     1          *          *          *          0
56       1       1       255     255     1          *          *          *          0
57       1       1       255     255     1          *          *          *          0
80       1       1       255     255     1          *          *          *          0
81       1       1       255     255     1          *          *          *          0
91       1       1       255     255     1          *          *          *          0
95       1       1       255     255     1          *          *          *          0
100      1       1       255     255     1          *          *          *          0
110      1       1       255     255     1          *          *          *          0
112      1       1       255     255     1          *          *          *          0
113      1       1       255     255     1          *          *          *          0
116      1       1       255     255     1          *          *          *          0
117      1       1       255     255     1          *          *          *          0
118      1       1       255     255     1          *          *          *          0
119      1       1       255     255     1          *          *          *          0
120      1       1       255     255     1          *          *          *          0
122      1       1       255     255     1          *          *          *          0
123      1       1       255     255     1          *          *          *          0
124      1       1       255     255     1          *          *          *          0
125      1       1       255     255     1          *          *          *          0
126      1       1       255     255     1          *          *          *          0
127      1       1       255     255     1          *          *          *          0
128      1       1       255     255     1          *          *          *          0
129      1       1       255     255     1          *          *          *          0
130      1       1       255     255     1          *          *          *          0
131      1       1       255     255     1          *          *          *          0

end
