//Section   Type   Level   Dur   Skill   Luck   Option   Excellent
//Helm
7           25     0      0     1       1      4        0	
7           26     0      0     1       1      4        0	
7           27     0      0     1       1      4        0	
7           25     0      0     1       1      4        0
8           25     0      0     1       1      4        0	
8           26     0      0     1       1      4        0	
8           27     0      0     1       1      4        0
8           25     0      0     1       1      4        0	
9           25     0      0     1       1      4        0	
9           26     0      0     1       1      4        0	
9           27     0      0     1       1      4        0
9           25     0      0     1       1      4        0	
10           25     0      0     1       1      4        0	
10           26     0      0     1       1      4        0	
10           27     0      0     1       1      4        0
10           25     0      0     1       1      4        0	
11           25     0      0     1       1      4        0	
11           26     0      0     1       1      4        0	
11           27     0      0     1       1      4        0
11           25     0      0     1       1      4        0	
12           21     0      0     1       1      4        0	
12           22     0      0     1       1      4        0	
12           23     0      0     1       1      4        0	
12           24     0      0     1       1      4        0	
12           35     0      0     1       1      4        0	
12           48     0      0     1       1      4        0	
end
