//Section   Type   Level   Dur   Skill   Luck   Option   Excellent
12           271     0       0     0       0      0        0
12           272     0       0     0       0      0        0
12           273     0       0     0       0      0        0
12           274     0       0     0       0      0        0
12           275     0       0     0       0      0        0
12           276     0       0     0       0      0        0
12           277     0       0     0       0      0        0
12           476     0       0     0       0      0        0 //Orb of Sword Inertia
12           477     0       0     0       0      0        0 //Orb of Bat Flock
7            91      3       0     0       1      1        0 //Robust Helm GL
8            91      3       0     0       1      1        0 //Robust Armor GL
9            91      3       0     0       1      1        0 //Robust Pants GL
10           91      3       0     0       1      1        0 //Robust Gloves GL
11           91      3       0     0       1      1        0 //Robust Boots GL
6            29      3       0     0       1      1        0 //Lapid Shield
6            31      3       0     0       1      1        0
3            13      3       0     0       1      1        0 //
12           478     0       0     0       0      0        0 //Orb of Detection
0            66      3       0     0       1      1        0 //Lapid Lance
7            174     3       0     1       1      1        0
8            174     3       0     1       1      1        0
9            174     3       0     1       1      1        0
10           174     3       0     1       1      1        0
11           174     3       0     1       1      1        0
7            175     3       0     1       1      1        0
8            175     3       0     1       1      1        0
9            175     3       0     1       1      1        0
10           175     3       0     1       1      1        0
11           175     3       0     1       1      1        0
0            67      3       0     1       1      1        0 //Dakia Short Sword
end
