0
//Year   Month   Day   DoW   Hour   Minute   Second
*        *       *     *     2      0        0
*        *       *     *     8      0        0
*        *       *     *     14     0        0
*        *       *     *     20     0        0
end

1
// MenuType	Zen		Item0	Cnt0	Item1	Cnt1	Status	Comment
0		1000000		*	*	*	*	1	// Menu - Swords
1		1000000		*	*	*	*	1	// Menu - Staff
2		1000000		*	*	*	*	1	// Menu - Bow
3		1000000		*	*	*	*	1	// Menu - Scepter
4		1000000		*	*	*	*	1	// Menu - Stick
5		*		7181	1	*	1	1	// Menu - Bless
6		*		7182	1	*	1	1	// Menu - Soul
7		*		7581	1	*	*	1	// Menu - Miracle Coin
8         	*	        7181    1	*	1	1	// Menu - Mastery Accessory
9         	*	        7181    1	*	1	1	// Menu - Guardian
10         	*	        7581	3	7181    10	1	// Menu - Miracle moss
end

2
//Index   Group   Option0   Option1   Option2   Option3   Option4   Option5   Option6   Durability   Attribute   GambleRate   Comment
5         0	  9         9         9         9         9         9         9         0	*           1290         //Blade
6         0	  9         9         9         9         9         9         9         0	*           1290         //Gladius
7         0	  9         9         9         9         9         9         9         0	*           1290         //Falchion
8         0	  9         9         9         9         9         9         9         0	*           1290         //Serpent Sword
9         0	  9         9         9         9         9         9         9         0	*           1290         //Sword of Salamander
10        0	  9         9         9         9         9         9         9         0	*           1290         //Light Saber
11        0	  9         9         9         9         9         9         9         0	*           1290         //Legendary Sword
12        0	  9         9         9         9         9         9         9         0	*           1290         //Heliacal Sword
13        0	  9         9         9         9         9         9         9         0	*           1290         //Double Blade
14        0	  9         9         9         9         9         9         9         0	*           1290         //Lighting Sword
15        0	  9         9         9         9         9         9         9         0	*           1290         //Giant Sword
16        0	  9         9         9         9         9         9         9         0	*           1290         //Sword of Destruction
17        0	  9         9         9         9         9         9         9         0	*           1290         //Dark Breaker
18        0	  9         9         9         9         9         9         9         0	*           1290         //Thunder Blade
20        0	  9         9         9         9         9         9         9         0	*           1290         //Knight Blade
25        0	  9         9         9         9         9         9         9         0	*           1290         //Sword Dancer
517       0	  9         9         9         9         9         9         9         0	*           1290         //Battle Axe
518       0	  9         9         9         9         9         9         9         0	*           1290         //Nikea Axe
519       0	  9         9         9         9         9         9         9         0	*           1290         //Larkan Axe
520       0	  9         9         9         9         9         9         9         0	*           1290         //Crescent Axe
1024      0	  9         9         9         9         9         9         9         0	*           1290         //Mace
1025      0	  9         9         9         9         9         9         9         0	*           1290         //Morning Star
1026      0	  9         9         9         9         9         9         9         0	*           1290         //Flail
1027      0	  9         9         9         9         9         9         9         0	*           1290         //Great Hammer
1029      0	  9         9         9         9         9         9         9         0	*           1290         //Crystal Sword
1541      0	  9         9         9         9         9         9         9         0	*           1290         //Double Poleaxe
1542      0	  9         9         9         9         9         9         9         0	*           1290         //Halberd
