0
//SetOption	Luck	Skill	Rate
1		0	1	850000					
2		0	1	70000				
1		1	1	60000					
2		1	1	20000	
end

1
//ExtOpt1   ExtOpt2   ExtOpt3   ExtOpt4   ExtOpt5   ExtOpt6   LuckRate   SkillRate   Rate
0	    3	      *		*	  *	    *	      0		 1	     110000	
0	    6	      *		*	  *	    *	      0		 1	     49500	
0	    7	      *		*	  *	    *	      0		 1	     263000	
0	    4	      *		*	  *	    *	      0		 1	     266000	
0	    5	      *		*	  *	    *	      0		 1	     266000	
0	    3	      6		*	  *	    *	      0		 1	     1000	
0	    3	      *		*	  *	    *	      1		 1	     5000	
0	    6	      *		*	  *	    *	      1		 1	     2000	
0	    7	      *		*	  *	    *	      1		 1	     11000	
0	    4	      *		*	  *	    *	      1		 1	     13000	
0	    5	      *		*	  *	    *	      1		 1	     13000	
0	    3	      6		*	  *	    *	      1		 1	     500	
end
