0
//Index 	 Group 	 Type 	 Rank 	 EvolutionIndex 	 Comment 
8192 		 42 	 1 	 4 	 8193 			 // Pinocchio
8193 		 43 	 1 	 4 	 * 			 // Pinocchio (Evolved)
8194 		 38 	 1 	 2 	 8195 			 // Geppetto 
8195 		 38 	 1 	 2 	 * 			 // Geppetto (Evolved)
8196 		 25 	 1 	 2 	 8197 			 // Blue Fairy 
8197 		 25 	 1 	 2 	 * 			 // Blue Fairy (Evolved)
8198 		 40 	 1 	 4 	 8199 			 // Papa Bear
8199 		 41 	 1 	 4 	 * 			 // Papa Bear (Evolved)
8200 		 57 	 1 	 2 	 8201 			 // Baby Bear 
8201 		 57 	 1 	 2 	 * 			 // Baby Bear (Evolved)
8202 		 28 	 1 	 2 	 8203 			 // Mama Bear 
8203 		 28	 1 	 2 	 * 			 // Mama Bear (Evolved)
8204 		 42 	 1 	 4 	 8205 			 // Woody 
8205 		 43 	 1 	 4 	 * 			 // Woody (Evolved)
8206 		 38 	 1 	 2 	 8207 			 // Treasure Chest 
8207 		 38 	 1 	 2 	 * 			 // Treasure Chest (Evolved)
8208 		 28 	 1 	 2 	 8209 			 // Treasure Hunter 
8209 		 28	 1 	 2 	 * 			 // Treasure Hunter (Evolved)
8210 		 40 	 1 	 4 	 8211 			 // Tree Elf 
8211 		 41 	 1 	 4 	 * 			 // Tree Elf (Evolved)
8212 		 23 	 1 	 2 	 8213 			 // Grass Fairy 
8213 		 23 	 1 	 2 	 * 			 // Grass Fairy (Evolved)
8214 		 54 	 1 	 2 	 8215 			 // Leaf Mage 
8215 		 54 	 1 	 2 	 * 			 // Leaf Mage (Evolved)
8216 		 50 	 1 	 4 	 8217 			 // Samba Girl
8217 		 51 	 1 	 4 	 * 			 // Samba Girl (Evolved)
8218 		 48 	 1 	 2 	 8219 			 // Rio 
8219 		 48 	 1 	 2 	 * 			 // Rio (Evolved)
8220 		 54 	 1 	 2 	 8221 			 // Bateria
8221 		 54 	 1 	 2 	 * 			 // Bateria (Evolved)
8222 		 61 	 1 	 3 	 * 			 // Reporter
8223 		 41 	 1 	 4 	 * 			 // Dragon Articles
8224 		 40 	 1 	 4 	 8225 			 // Tiger
8225 		 41 	 1 	 4 	 * 			 // Tiger(Evolved)
8226 		 42 	 1 	 4 	 8227 			 // Libra (Evolved)
8227 		 43 	 1 	 4 	 * 			 // Libra 
8228 		 50 	 1 	 4 	 8229 			 // Scorpio (Evolved)
8229 		 51 	 1 	 4 	 * 			 // Scorpio (Evolved)
8230 		 42 	 1 	 4 	 8231 			 // Meowstrong 
8231 		 43 	 1 	 4 	 * 			 // Meowstrong (Evolved)
8232 		 68 	 1 	 3 	 * 			 // Dotto
8233 		 40 	 1 	 4 	 8234 			 // Chicken
8234 		 41 	 1 	 4 	 * 			 // Chicken (Evolved)
8235 		 38 	 1 	 2 	 8236 			 // Chick
8236 		 38 	 1 	 2 	 * 			 // Chick (Evolved)
8237 		 25 	 1 	 2 	 8238 			 // Angry Rooster
8238 		 25	 1 	 2 	 * 			 // Angry Rooster (Evolved)
8239 		 32 	 1 	 4 	 8240 			 // Lion Mask 
8240 		 51 	 1 	 4 	 * 			 // Lion Mask (Evolved)
8241 		 * 	 1 	 4 	 8242 			 // Knight Instructor
8242 		 * 	 1 	 4 	 * 			 // Knight Instructor (Evolved)
8243 		 * 	 1 	 4 	 8244 			 // Black Leopard
8244 		 * 	 1 	 4 	 * 			 // Black Leopard (Evolved)
8245 		 * 	 1 	 4 	 8246 			 // Toy Robot
8246 		 * 	 1 	 4 	 * 			 // Toy Robot (Evolved)
8247 		 50	 1       4       8248             	 //Adventure cat
8248 		 51	 1       4       *                	 //Adventure cat (Evolved)
8249 		 40	 1       4       8250             	 //Dike
8250 		 41	 1       4       *                	 //Dike (Evolved)
8251 		 50	 1       4       8252             	 //Rainy Girl
8252 		 51	 1       4       *                	 //Rainy Girl (Evolved)
8253 		 42	 1       4       8254             	 //Scarecrow
8254 		 43	 1       4       *                	 //Scarecrow (Evolved)
8255 		 40	 1       4       8256             	 //Zombie Articles
8256 		 41	 1       4       *                	 //Zombie Articles (Evolved)
8257 		 50	 1       4       8258             	 //Mr. Fishing King
8258 		 51	 1       4       *                	 //Mr. Fishing King (Evolved)
8259 		 42	 1       4       8260             	 //Snow Fairy
8260 		 43	 1       4       *                	 //Snow Fairy (Evolved)
8261 		 69	 5       4       *                	 //Prince
8262 		 72	 5       4       *                	 //Rex Millon
8263 		 50	 1       4       8264             	 //Dodo Poodle
8264 		 51	 1       4       *                	 //Dodo Poodle (Evolved)
8265 		 23	 1       2       8266             	 //Shinan Beagle
8266 		 23	 1       2       *                	 //Shinan Beagle (Evolved)
8267 		 39	 1       2       8268             	 //Angry Bulldog
8268 		 39	 1       2       *                	 //Angry Bulldog (Evolved)
8269 		 40	 1       4       8270             	 //Skier
8270 		 41	 1       4       *                	 //Scythe (Evolved)
8271 		 70	 1       2       8272             	 //Figure Queen
8272 		 70	 1       2       *                	 //Figure Queen (Evolved)
8273 		 25	 1       2       8274             	 //Hockey Bear
8274 		 25	 1       2       *                	 //Hockey Bear (Evolved)
8275 		 42	 1       4       8276             	 //Pilot
8276 		 43	 1       4       *                	 //Pilot (Evolved)
8277 		 50	 1       4       8278             	 //Super Panda
8278 		 51	 1       4       *                	 //Super Panda (Evolved)
8279 		 42	 1       4       8280             	 //Belly Dancer
8280 		 43	 1       4       *                	 //Belly Dancer (Evolved)
8281 		 40	 1       4       8282             	 //Strong Captain
8282 		 41	 1       4       *                	 //Strong Captain (Evolved)
8283 		 71	 1       2       8284             	 //Strong Keeper
8284 		 71	 1       2       *                	 //Strong Keeper (Evolved)
8285 		 25	 1       2       8286             	 //Supreme Referee
8286 		 25	 1       2       *                	 //Supreme Referee (Evolved)
8287 		 50	 1       4       8288             	 //Hip-Hop Dino
8288 		 51	 1       4       *                	 //Hip-Hop Dino (Evolved)
8289 		 42	 1       4       8290             	 //Beach Girl
8290 		 43	 1       4       *                	 //Beach Girl (Evolved)
8291 		 50	 1       4       8292             	 //Bead Master
8292 		 51	 1       4       *                	 //Bead Master (Evolved)
8293 		 40	 1       4       8294             	 //Hangul King
8294 		 41	 1       4       *                	 //Hangul (Evolved)
8295 		 50	 1       4       8296             	 //Apple Sword
8296 		 51	 1       4       *                	 //Apple Sword (Evolved)
8297 		 42	 1       4       8298             	 //Flying Bread
8298 		 43	 1       4       *                	 //Flying Bread (Evolved)
8299 		 69	 5       4       *                	 //The Great Fairy Kara
8300 		 72	 5       4       *                	 //Great Wizard Eithamu
8301 		 43	 1       4       *                	 //Bell
8302 		 50	 1       4       8303             	 //Lapa
8303 		 51	 1       4       *                	 //Lapa (Evolved)
8304 		 40	 1       4       8305             	 //Knicks
8305 		 41	 1       4       *                	 //Knicks (Evolved)
8306 		 50	 1       4       8307             	 //Serufan
8307 		 51	 1       4       *                	 //Serufan (Evolved)
8308 		 42	 1       4       8309             	 //Medusa
8309 		 43	 1       4       *                	 //Medusa (Evolved)
8310 		 50	 1       4       8311             	 //Balrog
8311 		 51	 1       4       *                	 //Balrog (Evolved)
8312 		 40	 1       4       8313             	 //Hellmine
8313 		 41	 1       4       *                	 //Hellmine (Evolved)
8314 		 50	 1       4       8315             	 //Kundun
8315 		 51	 1       4       *                	 //Kundun (Evolved)
8316 		 42	 1       4       8317             	 //Hydra
8317 		 43	 1       4       *                	 //Hydra (Evolved)
8318 		 50	 1       4       8319             	 //Death Beam Knight
8319 		 51	 1       4       *                	 //Death Beam Knight (Evolved)
8320 		 40	 1       4       8321             	 //Nightmare
8321 		 41	 1       4       *                	 //Nightmare (Evolved)
8322 		 42	 1       4       8323             	 //Phoenix of Darkness
8323 		 43	 1       4       *                	 //Phoenix of Darkness (Evolved)
8324 		 50	 1       4       8325             	 //Kairuku
8325 		 51	 1       4       *                	 //Kairuku (Evolved)
8326 		 51	 1       4       *                	 //Legendary Warlock
8327 		 41	 1       4       *                	 //The Fairy of the Guardian
8328 		 73	 1       3       8329             	 //Desmodus
8329 		 73	 1       3       *                	 //Desmodus (Evolved)
8330 		 69	 5       4       *                	 //Fairy Queen Runedil
8331 		 72	 5       4       *                	 //Marshal Gaion Carin
8332 		 50	 1       4       8333             	 //Mouse in Boots
8333 		 51	 1       4       *                	 //Mouse in Boots (Evolved)
8334 		 50	 1       4       8334             	 //Blossoming Rhea
8335 		 51	 1       4       *                	 //Blossoming Rhea (Evolved)
8336 		 50	 1       4       8337             	 //Shadow Phantom
8337 		 51	 1       4       *                	 //Shadow Phantom (Evolved)
8338 		 50	 1       4       8339             	 //WareHouse Guardian
8339 		 51	 1       4       *                	 //WareHouse Guardian (Evolved)
8340 		 50	 1       4       8341             	 //Fairy Lara
8341 		 51	 1       4       *                	 //Fairy Lara (Evolved)
8342 		 28 	 5 	 4 	 * 			 // Tablet's Elpis
8404 		 0 	 1 	 3 	 8405 			 // Luki 
8405 		 0 	 1 	 3 	 * 			 // Luki (Evolved)
8406 		 9 	 1 	 3 	 8407 			 // Tony 
8407 		 9 	 1 	 3 	 * 			 // Tony (Evolved)
8408 		 1 	 1 	 2 	 8409 			 // Nymph (Evolved)
8409 		 1 	 1 	 2 	 * 			 // Nymph (Evolved)
8410 		 2 	 1 	 1 	 8411 			 // Safi
8411 		 2 	 1 	 1 	 * 			 // Safi (Evolved)
8415 		 3 	 1 	 4 	 8416 			 // William 
8416 		 3 	 1 	 4 	 * 			 // William (Evolved)
8417 		 4 	 1 	 2 	 8418 			 // Paul 
