//Index  Name 				 Option1 	 Value1 	 Option2 	 Value2 	 Option3 	 Value3 	 Option4 	 Value4 	 Option5 	 Value5 	 Option6 	 Value6 	 Option7 	 Value7 	 Option8 	 Value8 	 Option9 	 Value9 	 Option10 	 Value10 	 Option11 	 Value11 	 Option12 	 Value12 	 FullOption1 	 FullValue1 	 FullOption2 	 FullValue2 	 FullOption3 	 FullValue3 	 FullOption4 	 FullValue4 	 FullOption5 	 FullValue5 	 FullOption6 	 FullValue6 	 FullOption7 	 FullValue7 	 FullOption8 	 FullValue8 	 FullOption9 	 FullValue9 
1 	 "Warrior's"			 0 		 10 		 * 		 * 		 19 		 10 		 * 		 * 		 13 		 20 		 * 		 * 		 14 		 5 		 * 		 * 		 10 		 20 		 * 		 * 		 1 		 10 		 * 		 * 		 15 		 5 		 17 		 5 		 0 		 25 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 
2 	 "Anonymous's"			 11 		 50 		 * 		 * 		 1 		 50 		 * 		 * 		 22 		 25 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 8 		 30 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 
3 	 "Hyperion's"			 2 		 15 		 * 		 * 		 1 		 15 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 19 		 20 		 12 		 30 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 
4 	 "Mist's"			 3 		 20 		 * 		 * 		 19 		 30 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 20 		 10 		 1 		 20 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 
5 	 "Eplete's"			 19 		 15 		 * 		 * 		 9 		 50 		 * 		 * 		 7 		 5 		 * 		 * 		 11 		 50 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 13 		 30 		 15 		 10 		 17 		 10 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 
6 	 "Berserker's"			 6 		 10 		 * 		 * 		 6 		 20 		 * 		 * 		 6 		 30 		 * 		 * 		 6 		 40 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 19 		 40 		 0 		 40 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 
7 	 "Garuda's"			 13 		 30 		 * 		 * 		 20 		 5 		 * 		 * 		 2 		 15 		 * 		 * 		 11 		 50 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 19 		 25 		 7 		 15 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 
8 	 "Cloud's"			 15 		 20 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 16 		 50 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 
9 	 "Kantata's"			 2 		 15 		 * 		 * 		 3 		 30 		 * 		 * 		 7 		 10 		 * 		 * 		 0 		 15 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 19 		 25 		 17 		 10 		 18 		 20 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 
10 	 "Rave's"			 19 		 20 		 * 		 * 		 20 		 10 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 23 		 30 		 21 		 5 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 * 		 
