0
//Index   Skill   Group   MinLevel   MaxLevel   ExtValue   RelatedSkill   ReplaceSkill   RequireSkill   RequireSkill
1         300     1       1          20         37         0              0              0              0
4         301     1       1          20         12         0              0              0              0
6         302     1       1          20         13         0              0              0              0
8         303     1       1          20         7          0              0              0              0
9         305     1       1          20         17         0              0              300            0
10        306     1       1          20         1          0              0              302            0
12        307     1       1          20         1          0              0              303            0
14        309     1       1          20         16         0              0              0              0
15        746     1       1          10         162        0              0              0              0
16        310     1       1          20         1          0              0              307            0
17        312     1       1          20         17         0              0              305            0
18        313     1       1          20         1          0              0              309            0
23        315     1       1          20         3          0              0              0              0
24        316     1       1          20         38         0              0              315            0
25        317     1       1          20         40         0              0              0              0
26        318     1       1          20         40         0              0              0              0
27        319     1       1          20         40         0              0              0              0
28        320     1       1          20         40         0              0              0              0
30        375     1       1          20         17         0              0              0              0
32        634     1       1          20         2          0              0              0              0
34        377     1       1          20         17         0              0              375            0
35        637     1       1          20         35         0              0              0              0
36        636     1       1          20         39         0              0              634            0
37        325     2       1          20         13         0              0              0              0
41        378     2       1          20         17         5              5              0              0
42        379     2       1          20         40         3              3              0              0
43        380     2       1          20         1          233            233            0              0
45        381     2       1          20         4          14             14             378            0
46        382     2       1          20         17         13             13             379            0
47        383     2       1          20         1          233            380            380            0
49        385     2       1          20         4          9              9              0              0
50        386     2       1          20         22         0              0              385            0
51        334     2       1          20         9          0              0              0              0
52        387     2       1          20         17         38             38             0              0
54        388     2       1          20         40         10             10             0              0
55        338     2       1          20         9          0              0              334            0
56        389     2       1          20         40         7              7              0              0
57        390     2       1          20         40         2              2              0              0
59        341     2       1          20         8          0              0              338            0
60        391     2       1          20         17         39             39             389            0
62        392     2       1          20         17         40             40             388            0
63        743     2       1          20         43         0              0              0              0
66        495     2       10         10         26         495            0              0              0
69        642     2       10         10         0          642            0              0              0
70        497     2       1          20         4          495            495            495            0
73        347     3       1          20         14         0              0              0              0
77        397     3       1          20         22         0              0              0              0
78        398     3       1          20         42         0              0              0              0
79        399     3       1          20         10         0              0              0              0
81        400     3       1          10         23         0              0              397            0
82        401     3       1          20         42         0              0              398            0
83        402     3       1          20         17         0              0              399            0
85        403     3       1          20         7          16             16             0              0
86        357     3       1          20         18         0              0              0              0
87        358     3       1          20         11         0              0              0              0
88        359     3       1          20         6          0              0              0              0
89        404     3       1          20         10         16             403            403            0
90        405     3       1          20         22         0              0              0              0
92        362     3       1          20         6          0              0              359            0
93        406     3       1          20         7          16             404            404            0
94        407     3       1          20         3          0              0              405            0
96        366     3       1          20         38         0              0              0              0
97        367     3       1          20         38         0              0              0              0
98        368     3       1          20         38         0              0              0              0
99        639     3       1          20         22         0              0              0              0
100       369     3       1          20         38         0              0              366            0
101       641     3       1          20         22         0              0              0              0
102       372     3       1          20         38         0              0              368            0
104       370     3       1          20         38         0              0              0              0
107       640     3       1          20         3          0              0              639            0
108       371     3       1          20         38         0              0              370            0
end

1
//Index   Skill   Group   MinLevel   MaxLevel   ExtValue   RelatedSkill   ReplaceSkill   RequireSkill   RequireSkill
1         300     1       1          20         37         0              0              0              0
4         301     1       1          20         12         0              0              0              0
6         302     1       1          20         13         0              0              0              0
8         303     1       1          20         7          0              0              0              0
9         305     1       1          20         17         0              0              300            0
10        306     1       1          20         1          0              0              302            0
12        307     1       1          20         1          0              0              303            0
14        309     1       1          20         16         0              0              0              0
15        746     1       1          10         162        0              0              0              0
16        310     1       1          20         1          0              0              307            0
17        312     1       1          20         17         0              0              305            0
18        313     1       1          20         1          0              0              309            0
23        315     1       1          20         3          0              0              0              0
24        316     1       1          20         38         0              0              315            0
25        317     1       1          20         40         0              0              0              0
26        318     1       1          20         40         0              0              0              0
27        319     1       1          20         40         0              0              0              0
28        320     1       1          20         40         0              0              0              0
30        322     1       1          20         17         0              0              0              0
34        324     1       1          20         17         0              0              322            0
35        626     1       1          20         35         0              0              0              0
37        325 	  2 	  1 	     20 	13 	   0 		  0 		 0 		0 
