//Index  Name						Damage  MP      BP      Range   Radio   Delay   Type	Effect	ReqLevel	ReqEnergy	ReqLeadership	ReqKillCount	ReqGuildStatus	DivisionStat1	DivisionValue1	DivisionStat2	DivisionValue2	SkillDamageType	ElementImprintBonus	AddDamageOption   DW      DK      FE      MG      DL      SU      RF      GL      RW      SL	GC
1	"Poison"					12	42	0	6	0	0	5	55	0		0		0		0		0		4		50		-1		-1		0		150			0		  1	  0	  0	  1	  0	  0	  0	  0	  1	  0	0
2	"Meteorite"					21	12	0	6	0	0	3	0	0		0		0		0		0		4		45		-1		-1		0		190			0		  1	  0	  0	  1	  0	  1	  0	  0	  1	  0	0
3	"Lightning"					17	15	0	6	0	0	4	0	0		0		0		0		0		4		40		-1		-1		0		180			0		  1	  0	  0	  1	  0	  0	  0	  0	  0	  0	0
4	"Fire Ball"					8	3	0	6	0	0	1	0	0		0		0		0		0		4		30		-1		-1		0		197			0		  1	  0	  0	  1	  0	  1	  0	  0	  1	  0	0
5	"Flame"						25	50	0	6	6	0	1	0	0		0		0		0		0		4		100		-1		-1		0		120			0		  1	  0	  0	  1	  0	  0	  0	  0	  1	  0	0
6	"Teleport"					0	30	0	6	0	0	0	0	0		0		0		0		0		-1		-1		-1		-1		0		100			0		  1	  0	  0	  0	  0	  0	  0	  0	  0	  0	0
7	"Ice"						10	38	0	6	0	0	2	56	0		0		0		0		0		4		45		-1		-1		0		150			0		  1	  0	  0	  1	  0	  1	  0	  0	  0	  0	0
8	"Twister"					35	60	0	6	6	0	4	0	0		0		0		0		0		4		90		-1		-1		0		140			0		  1	  0	  0	  1	  0	  0	  0	  0	  1	  0	0
9	"Evil Spirit"					45	90	0	6	6	0	5	0	0		0		0		0		0		4		150		-1		-1		0		110			0		  1	  0	  0	  1	  0	  0	  0	  0	  1	  0	0
10	"Hell Fire"					120	160	0	0	6	0	1	0	0		0		0		0		0		4		200		-1		-1		0		130			0		  1	  0	  0	  1	  0	  0	  0	  0	  1	  0	0
11	"Power Wave"					14	5	0	6	0	0	4	0	0		0		0		0		0		4		30		-1		-1		0		195			0		  1	  0	  0	  1	  0	  1	  0	  0	  0	  0	0
12	"Aqua Beam"					80	140	0	6	6	0	2	0	0		0		0		0		0		4		200		-1		-1		0		140			0		  1	  0	  0	  1	  0	  0	  0	  0	  0	  0	0
13	"Blast"						70	150	0	6	6	0	4	0	0		0		0		0		0		4		150		-1		-1		0		130			0		  1	  0	  0	  1	  0	  0	  0	  0	  1	  0	0
14	"Inferno"					100	200	0	0	6	0	1	0	0		0		0		0		0		4		90		-1		-1		0		110			0		  1	  0	  0	  1	  0	  0	  0	  0	  1	  0	0
15	"Teleport Party"				0	90	25	6	0	0	0	0	0		0		0		0		0		-1		-1		-1		-1		0		100			0		  2	  0	  0	  0	  0	  0	  0	  0	  0	  0	0
16	"Mana Shield"					0	70	22	6	0	0	0	4	0		0		0		0		0		-1		-1		-1		-1		1		100			0		  1	  0	  0	  0	  0	  0	  0	  0	  0	  0	0
17	"Energy Ball"					3	1	0	6	0	0	4	0	0		0		0		0		0		4		30		-1		-1		0		200			0		  1	  0	  0	  0	  0	  0	  0	  0	  1	  0	0
18	"Defense"					0	30	0	0	0	0	0	0	0		0		0		0		0		-1		-1		-1		-1		0		100			0		  0	  1	  0	  1	  1	  0	  0	  1	  0	  0	0
19	"Falling Slash"					0	9	0	3	0	0	4	0	0		0		0		0		0		1		30		-1		-1		0		180			0		  0	  1	  0	  1	  1	  0	  1	  0	  0	  0	0
20	"Lunge"						0	9	0	2	0	0	4	0	0		0		0		0		0		1		30		-1		-1		0		170			0		  0	  1	  0	  1	  1	  0	  0	  1	  0	  1	0
21	"Uppercut"					0	8	0	2	0	0	4	0	0		0		0		0		0		1		30		-1		-1		0		190			0		  0	  1	  0	  1	  1	  0	  0	  0	  0	  1	0
22	"Cyclone"					0	9	0	2	0	0	4	0	0		0		0		0		0		1		30		-1		-1		0		165			0		  0	  1	  0	  1	  1	  0	  0	  0	  0	  1	0
23	"Slash"						0	10	0	2	0	0	4	0	0		0		0		0		0		1		30		-1		-1		0		185			0		  0	  1	  0	  1	  0	  0	  0	  0	  0	  0	0
24	"Triple Shot"					0	5	0	6	6	0	4	0	0		0		0		0		0		2		100		-1		-1		0		160			0		  0	  0	  1	  0	  0	  0	  0	  0	  0	  0	0
26	"Heal"						0	20	0	6	0	0	0	0	0		0		0		0		0		-1		-1		-1		-1		3		100			0		  0	  0	  1	  0	  0	  0	  0	  0	  0	  0	0
