0
//SetOption	Luck	BonusOption	Rate
1		0	0		850000					
2		0	0		70000				
1		1	0		60000					
2		1	0		20000	
end

1
//ExtOpt1   ExtOpt2   ExtOpt3   ExtOpt4   ExtOpt5   ExtOpt6   LuckRate   BonusOption   Rate
0	    3	      *		*	  *	    *	      0		 3	       110000	
0	    6	      *		*	  *	    *	      0		 3	       49500	
0	    7	      *		*	  *	    *	      0		 3	       263000	
0	    4	      *		*	  *	    *	      0		 3	       266000	
0	    5	      *		*	  *	    *	      0		 3	       266000	
0	    3	      6		*	  *	    *	      0		 3	       1000	
0	    3	      *		*	  *	    *	      1		 3	       5000	
0	    6	      *		*	  *	    *	      1		 3	       2000	
0	    7	      *		*	  *	    *	      1		 3	       11000	
0	    4	      *		*	  *	    *	      1		 3	       13000	
0	    5	      *		*	  *	    *	      1		 3	       13000	
0	    3	      6		*	  *	    *	      1		 3	       500	
end
