//Class   Strength   Dexterity   Vitality   Energy   Leadership   MaxLife   MaxMana   LevelLife   LevelMana   VitalityToLife   EnergyToMana
0         18         18          15         30       0            60        60        1.0         2.0         2.0              2.0
1         28         20          25         10       0            110       20        2.0         0.5         3.0              1.0
2         22         25          20         15       0            80        30        1.0         1.5         2.0              1.5
3         26         26          26         26       0            110       60        1.0         1.0         2.0              2.0
4         26         20          20         15       25           90        40        1.5         1.0         2.0              1.5
5         21         21          18         23       0            70        40        1.0         1.5         2.0              1.5
6         32         27          25         20       0            100       40        1.3         1.0         2.0              1.3
7         30         30          25         24       0            110       40        2.0         1.0         2.0              1.0
8         13         18          14         40       0            60        60        1.0         2.0         2.0              2.0
9         28         30          15         10       0            130       10        1.2         1.8         2.0              1.5
10        20         18          20         25       0            100       80        1.2         1.8         2.0              1.5
end
