//========================================================
// Mastery Item S18.1-1
// OMEGA - 27/09/2022
//
// Group: 0 = Weapon , 1 = Armor
// Value:
// 0 = Blood Angel
// 1 = Dark Angel
// 2 = Holyangel
// 3 = Soul Orb
// 4 = Blue Eye
// 5 = Silver Heart
// 6 = Manticore
// 7 = Brilliant
//========================================================
// Weapons
0
//Index   Group   Value   Comment
42        0       0       //Blood Angel Sword
44        0       0       //Blood Angel Magic Sword
46        0       0       //Blood Angel Claws
54        0       1       //Dark Angel Sword
55        0       1       //Dark Angel Magic Sword
56        0       1       //Dark Angel Claws
57        0       2       //Holy Angel Sword
58        0       2       //Holy Angel Magic Sword
59        0       2       //Holy Angel Claws
62        0       3       //Soul Sword
63        0       3       //Soul Magic Sword
64        0       3       //Soul Claws
71        0       0       //Blood Angel Short Sword
72        0       1       //Dark Angel Short Sword
73        0       2       //Holy Angel Short Sword
74        0 	  3 	  //Soul Short Sword
75 	  	  0 	  4 	  //Blue Eye Short Sword								
78        0       4       //Blue Eye Sword
79        0       4       //Blue Eye Magic Sword
80        0       4       //Blue Eye Claw
81        0       5       //Silver Heart Sword
82        0       5       //Silver Heart Magic Sword
83        0       5       //Silver Heart Claw
84        0       5       //Silver Heart Short Sword
85		  0		  6		  //Manticore Sword
86		  0		  6		  //Manticore Magic Sword
87		  0		  6		  //Manticore Claw
88		  0		  6		  //Manticore Short Sword
89        0       0       //Blood Angel Magic Two Hand Sword
90        0       1       //Dark Angel Magic Two Hand Sword
91        0       2       //Holy Angel Magic Two Hand Sword
92        0       3       //Soul Magic Two Hand Sword
93        0       4       //Blue Eye Magic Two Hand Sword
94        0       5       //Silver Heart Magic Two Hand Sword
95		  0		  6		  //Manticore Magic Two-Handed Sword
105       0       0       //Bloodangel Blade S18.1-1
1046      0       0       //Blood Angel Scepter
1050      0       1       //Dark Angel Scepter
1051      0       2       //Holy Angel Scepter
1056      0       0       //Blood Angel Runic Mace
1057      0       1       //Dark Angel Runic Mace
1060      0       3       //Soul Scepter
1062      0       2       //Holy Angel Rune Mace
1063      0       3       //Soul Rune Mace
1064      0       4       //Blue Eye Scepter
1065      0       4       //Blue Eye Rune Mace
1066      0       5       //Silver Heart Scepter
1067      0       5       //Silver Heart Rune Mace
1068	  0		  6		  //Manticore Scepter
1069	  0		  6		  //Manticore Rune Mace
1555      0       0       //Blood Angel Lance
1560      0       1       //Dark Angel Lance
1561      0       2       //Holy Angel Lance
1564      0       3       //Soul Lance
1565	  0		  4		  //Blue Eye Lance
1566	  0		  5		  //Silver Heart Lance
1567	  0		  6		  //Manticore Lance
2076      0       0       //Blood Angel Bow
2079      0       1       //Dark Angel Bow
2082      0       0       //Blood Angel Quiver
2083      0       1       //Dark Angel Quiver
2084      0       2       //Holy Angel Bow
2085      0       2       //Holy Angel Quiver
2086      0       3       //Soul Bow
2087      0       3       //Soul Quiver
2088      0       4       //Blue Eye Bow
2089      0       4       //Blue Eye Quiver
2096      0       0       //Blood Angel Magic Gun
2097      0       1       //Dark Angel Magic Gun
2098      0       2       //Holy Angel Magic Gun
2099      0       3       //Soul Magic Gun
2100 	  0 	  4  	  //Blue Eye Magic Gun
2101 	  0    	  5 	  //Silver Heart Magic Gun
2102	  0		  6		  //Manticore Magic Gun
2104      0       5       //Silver Heart Bow
2105      0       5       //Silver Heart Quiver
2106	  0		  6		  //Manticore Bow
2107	  0		  6		  //Manticore Quiver
2601      0       0       //Blood Angel Staff
2603      0       0       //Blood Angel Stick
2611      0       1       //Dark Angel Staff
2612      0       1       //Dark Angel Stick
2613      0       2       //Holy Angel Staff
2614      0       2       //Holy Angel Stick
2615      0       3       //Soul Staff
2616      0       3       //Soul Stick
2617      0       0       //Book of Blood Angel
2618      0       1       //Book of Dark Angel
2619      0       2       //Book of Holyangel
2620      0       3       //Book of Soul
2621      0       4       //Blue Eye Staff
2622      0       4       //Blue Eye Stick
2623      0       4       //Blue Eye Book
2624      0       5       //Silver Heart Staff
2625      0       5       //Silver Heart Stick
2626      0       5       //Silver Heart Book
2633      0       0       //Blood Angel Magic Book
2634      0       1       //Dark Angel Magic Book
2635      0       2       //Holy Angel Magic Book
2636      0       3       //Soul Magic Book
2637      0       4       //Blue Eye Magic Book
2638      0       5       //Silver Heart Magic Book
2639      0       6       //Manticore Magic Book
2646      0       0       //Blood Angel Orb
2647      0       1       //Dark Angel Orb
2648      0       2       //Holy Angel Orb
2649      0       3       //Soul Orb
2650      0       4       //Blue Eye Orb
2651      0       5       //Silver Heart Orb
2652      0       6       //Manticore Orb
2655      0       6       //Manticore Staff
2656      0       6       //Manticore Stick
2657      0       6       //Manticore Summoner Book
//Shields
3106	  0		  0		  //Blood Angel Fairy Shield												   
3116	  0		  0		  //Blood Angel Shield
3117	  0		  1		  //Dark Angel Shield
3118	  0		  2		  //Holy Angel Shield
3119	  0		  3		  //Soul Shield
3120	  0		  4		  //Blue Eye Shield
3121	  0		  5		  //Silver Heart Shield
3122      0       6       //Manticore Shield
3123	  0		  1		  //Dark Angel Fairy Shield
3124	  0		  2		  //Holy Angel Fairy Shield
3125	  0		  3		  //Soul Fairy Shield
3126	  0		  4		  //Blue Eye Fairy Shield
3127	  0		  5		  //Silver Heart Fairy Shield
3128      0       6       //Manticore Fairy Shield
//========================================================
// Armors
3682      1       0       //Blood Angel Knight Helm
3683      1       0       //Blood Angel Wizard Helm
3684      1       0       //Blood Angel Elf Helm (A)
3685      1       0       //Blood Angel Summoner Helm
3687      1       0       //Blood Angel Lord Helm
3688      1       0       //Blood Angel Fighter Helm
3689      1       0       //Blood Angel Lancer Helm
3690      1       3       //Awakening Soul Knight Helm
3691      1       3       //Awakening Soul Wizard Helm
3692      1       3       //Awakening Soul Elf Helm (A)
3693      1       3       //Awakening Soul Summoner Helm
3695      1       3       //Awakening Soul Lord Helm
3696      1       3       //Awakening Soul Fighter Helm
3697      1       3       //Awakening Soul Lancer Helm
3698      1       3       //Awakening Soul Elf Helm (B)
3706      1       0       //Blood Angel Runist Helm
3707      1       1       //Dark Angel Runist Helm
3711      1       2       //Holy Angel Runist Helm
3712      1       3       //Awakening Soul Runist Helm
3713      1       4       //Blue Eye Runist Helm
3722      1       1       //Dark Angel Knight Helm
3723      1       1       //Dark Angel Wizard Helm
3724      1       1       //Dark Angel Elf Helm (A)
3725      1       1       //Dark Angel Summoner Helm
3727      1       1       //Dark Angel Lord Helm
3728      1       1       //Dark Angel Fighter Helm
3729      1       1       //Dark Angel Lancer Helm
3734      1       2       //Holy Angel Knight Helm
3735      1       2       //Holy Angel Wizard Helm
3736      1       2       //Holy Angel Elf Helm (A)
3737      1       2       //Holy Angel Summoner Helm
3739      1       2       //Holy Angel Lord Helm
3740      1       2       //Holy Angel Fighter Helm
3741      1       2       //Holy Angel Lancer Helm
3742      1       0       //Blood Angel Elf Helm (B)
3743      1       1       //Dark Angel Elf Helm (B)
3744      1       2       //Holy Angel Elf Helm (B)
3748      1       4       //Blue Eye Knight Helm
3749      1       4       //Blue Eye Wizard Helm
3750      1       4       //Blue Eye Elf Helm (A)
3751      1       4       //Blue Eye Summoner Helm
3753      1       4       //Blue Eye Lord Helm
3754      1       4       //Blue Eye Fighter Helm
3755      1       4       //Blue Eye Lancer Helmet
3756      1       4       //Blue Eye Elf Helm (B)
3764      1       0       //Blood Angel Slayer Helm
3765      1       1       //Dark Angel Slayer Helm
3766      1       2       //Holy Angel Slayer Helm
3767      1       3       //Soul Slayer Helm
3768	  1		  4		  //Blue Eye Slayer Helm	
3769	  1		  5		  //Silverheart Slayer Helm	
3773      1       5       //Silverheart Knight Helm
3774      1       5       //Silver Heart Wizard Helm
3775      1       5       //Silverheart Elf Helm (A)
3776      1       5       //Silverheart Summoner Helm
3778      1       5       //Silverheart Lord Helm
3779      1       5       //Silverheart Fighter Helm
3780      1       5       //Silverheart Lancer Helm
3781      1       5       //Silverheart Elf Helm (B)
3783      1       5       //Silver Heart Rune Wizard Helm
3784	  1		  0		  //Blood Angel Knight Helm (Belief)
3785	  1		  1		  //Dark Angel Knight Helm (Belief)
3786	  1		  2		  //Holy Angel Knight Helm (Belief)	
3787	  1		  3		  //Soul Knight Helm (Belief)	
3788	  1		  4		  //Blue Eye Knight Helmet (Belief)
3789	  1		  5		  //Silver Heart Knight Helm (Belief)
3796	  1		  0		  //Blood Angel Gunner Helmet
3797	  1		  1		  //Dark Angel Gunner Helmet
3798	  1		  2		  //Holy Angel Gunner Helmet
3799	  1		  3		  //Soul Gunner Helm
3800      1       4 	  //Blue Eye Gunner Helmet
3801      1       5 	  //Silver Heart Gunner Helmet
3805	  1		  6		  //Manticore Knight Helm
3806	  1		  6		  //Manticore Wizard Helmet
3807	  1		  6		  //Manticore Elf Helmet
3808	  1		  6		  //Manticore Summoner Helmet
3810	  1		  6		  //Manticore Lord Helmet
3811	  1		  6		  //Manticore Fighter Helmet
3812	  1		  6		  //Manticore Lancer Helmet
3813	  1		  6		  //Manticore Elf Helmet
