//==============================================================================================================================================================================//
//Type
//0 = ITEM
//1 = BUFF
//==============================================================================================================================================================================//
0
//Dark Knight
//Index	   Type	   Lvl	   Dur    Skill	   Luck	   Life	   Exc     Set    Socket     Time	DW	DK	FE	MG	DL	SU	RF	GL	RW	SL	GC	KM	LM	IK		// Comment
3585		0		8		0		0		0		0		1		0		0		604800	0	1	0	0	0	0	0	0	0	0	0	0	0	0		// Dragon Helm
4097		0		8		0		0		0		0		1		0		0		604800	0	1	0	0	0	0	0	0	0	0	0 	0	0	0		// Dragon Armor
4609		0		8		0		0		0		0		1		0		0		604800	0	1	0	0	0	0	0	0	0	0	0 	0	0	0		// Dragon Pants
5121		0		8		0		0		0		0		1		0		0		604800	0	1	0	0	0	0	0	0	0	0	0 	0	0	0		// Dragon Gloves
5633		0		8		0		0		0		0		1		0		0		604800	0	1	0	0	0	0	0	0	0	0	0 	0	0	0		// Dragon Boots
13			0		8		0		1		0		0		1		0		0		604800	0	1	0	0	0	0	0	0	0	0	0 	0	0	0		// Double Blade
3085		0		8		0		1		0		0		1		0		0		604800	0	1	0	0	0	0	0	0	0	0	0 	0	0	0		// Dragon Shield
6278		0		0		0		0		0		0		0		0		0		604800	0	1	0	0	0	0	0	0	0	0	0 	0	0	0		// Small Wing of Satan
//==============================================================================================================================================================================//	                                                                                                                                            
//Dark Wizard	                                                                                                                                
//Index	   Type	   Lvl	   Dur    Skill	   Luck	   Life	   Exc     Set    Socket     Time	DW	DK	FE	MG	DL	SU	RF	GL	RW	SL	GC	KM	LM	IK		// Comment
3587 		0		8		0		0		0		0		1		0		0		604800	1	0	0	0	0	0	0	0	0	0	0	0	0	0		// Legendary Helm
4099 		0		8		0		0		0		0		1		0		0		604800	1	0	0	0	0	0	0	0	0	0	0	0	0	0		// Legendary Armor
4611 		0		8		0		0		0		0		1		0		0		604800	1	0	0	0	0	0	0	0	0	0	0	0	0	0		// Legendary Pants
5123 		0		8		0		0		0		0		1		0		0		604800	1	0	0	0	0	0	0	0	0	0	0	0	0	0		// Legendary Gloves
5635 		0		8		0		0		0		0		1		0		0		604800	1	0	0	0	0	0	0	0	0	0	0	0	0	0		// Legendary Boots
2565 		0		8		0		1		0		0		1		0		0		604800	1	0	0	0	0	0	0	0	0	0	0	0	0	0		// Legendary Staff
3086 		0		8		0		1		0		0		1		0		0		604800	1	0	0	0	0	0	0	0	0	0	0	0	0	0		// Legendary Shield
6277        0		0		0		0		0		0		0		0		0		604800	1	0	0	0	0	0	0	0	0	0	0	0	0	0		// Small Wings of Heaven
//==============================================================================================================================================================================//
//Fairy Elf	                                                                                                                                    
//Index	   Type	   Lvl	   Dur    Skill	   Luck	   Life	   Exc     Set    Socket     Time	DW	DK	FE	MG	DL	SU	RF	GL	RW	SL	GC	KM	LM	IK		// Comment
3595        0		8		0		0		0		0		1		0		0		604800	0	0	1	0	0	0	0	0	0	0	0	0	0	0		// Silk Helm
4107        0		8		0		0		0		0		1		0		0		604800	0	0	1	0	0	0	0	0	0	0	0	0	0	0		// Silk Armor
4619        0		8		0		0		0		0		1		0		0		604800	0	0	1	0	0	0	0	0	0	0	0	0	0	0		// Silk Pants
5131        0		8		0		0		0		0		1		0		0		604800	0	0	1	0	0	0	0	0	0	0	0	0	0	0		// Silk Gloves
5643        0		8		0		0		0		0		1		0		0		604800	0	0	1	0	0	0	0	0	0	0	0	0	0	0		// Silk Boots
2049        0		8		0		1		0		0		1		0		0		604800	0	0	1	0	0	0	0	0	0	0	0	0	0	0		// Bow
2063        0		3		0		0		0		0		1		0		0		604800	0	0	1	0	0	0	0	0	0	0	0	0	0	0		// Arrow
6276        0		0		0		0		0		0		0		0		0		604800	0	0	1	0	0	0	0	0	0	0	0	0	0	0		// Small Wings of Elf
//==============================================================================================================================================================================//
//Summoner	                                                                                                                                    
//Index	   Type	   Lvl	   Dur    Skill	   Luck	   Life	   Exc     Set    Socket     Time	DW	DK	FE	MG	DL	SU	RF	GL	RW	SL	GC	KM	LM	IK		// Comment
3624        0		8		0		0		0		0		1		0		0		604800	0	0	0	0	0	1	0	0	0	0	0	0	0	0		// Red Wing Helm
4136        0		8		0		0		0		0		1		0		0		604800	0	0	0	0	0	1	0	0	0	0	0	0	0	0		// Red Wing Armor
4648        0		8		0		0		0		0		1		0		0		604800	0	0	0	0	0	1	0	0	0	0	0	0	0	0		// Red Wing Pants
5160        0		8		0		0		0		0		1		0		0		604800	0	0	0	0	0	1	0	0	0	0	0	0	0	0		// Red Wing Gloves
5672        0		8		0		0		0		0		1		0		0		604800	0	0	0	0	0	1	0	0	0	0	0	0	0	0		// Red Wing Boots
2576        0		8		0		1		0		0		1		0		0		604800	0	0	0	0	0	1	0	0	0	0	0	0	0	0		// Red Wing Stick
2581        0		8		0		0		0		0		1		0		0		604800	0	0	0	0	0	1	0	0	0	0	0	0	0	0		// Book of Samut 
6275        0		0		0		0		0		0		0		0		0		604800	0	0	0	0	0	1	0	0	0	0	0	0	0	0		// Small Wings of Curse 
//==============================================================================================================================================================================//
//Magic Gladiator	                                                                                                                            
//Index	   Type	   Lvl	   Dur    Skill	   Luck	   Life	   Exc     Set    Socket     Time	DW	DK	FE	MG	DL	SU	RF	GL	RW	SL	GC	KM	LM	IK		// Comment
4111        0		8		0		0		0		0		1		0		0		604800	0	0	0	1	0	0	0	0	0	0	0	0	0	0		// Storm Crow Armor
4623        0		8		0		0		0		0		1		0		0		604800	0	0	0	1	0	0	0	0	0	0	0	0	0	0		// Storm Crow Pants
5135        0		8		0		0		0		0		1		0		0		604800	0	0	0	1	0	0	0	0	0	0	0	0	0	0		// Storm Crow Gloves
5647        0		8		0		0		0		0		1		0		0		604800	0	0	0	1	0	0	0	0	0	0	0	0	0	0		// Storm Crow Boots
13          0		8		0		1		0		0		1		0		0		604800	0	0	0	1	0	0	0	0	0	0	0	0	0	0		// Double Blade
3085        0		8		0		1		0		0		1		0		0		604800	0	0	0	1	0	0	0	0	0	0	0	0	0	0		// Dragon Shield
6278        0		0		0		0		0		0		0		0		0		604800	0	0	0	1	0	0	0	0	0	0	0	0	0	0		// Small Wing of Satan
//==============================================================================================================================================================================//
//Dark Lord	                                                                                                                                    
//Index	   Type	   Lvl	   Dur    Skill	   Luck	   Life	   Exc     Set    Socket     Time	DW	DK	FE	MG	DL	SU	RF	GL	RW	SL	GC	KM	LM	IK		// Comment
3609        0		8		0		0		0		0		1		0		0		604800	0	0	0	0	1	0	0	0	0	0	0	0	0	0		// Light Plate Mask
4121        0		8		0		0		0		0		1		0		0		604800	0	0	0	0	1	0	0	0	0	0	0	0	0	0		// Light Plate Armor
4633        0		8		0		0		0		0		1		0		0		604800	0	0	0	0	1	0	0	0	0	0	0	0	0	0		// Light Plate Pants
5145        0		8		0		0		0		0		1		0		0		604800	0	0	0	0	1	0	0	0	0	0	0	0	0	0		// Light Plate Gloves
5657        0		8		0		0		0		0		1		0		0		604800	0	0	0	0	1	0	0	0	0	0	0	0	0	0		// Light Plate Boots
1032        0		8		0		0		0		0		1		0		0		604800	0	0	0	0	1	0	0	0	0	0	0	0	0	0		// Battle Scepter
3080        0		8		0		1		0		0		1		0		0		604800	0	0	0	0	1	0	0	0	0	0	0	0	0	0		// Tower Shield 
6274        0		0		0		0		0		0		0		0		0		604800	0	0	0	0	1	0	0	0	0	0	0	0	0	0		// Small Cape of Lord
//==============================================================================================================================================================================//
//Rage Fighter	                                                                                                                                
//Index	   Type	   Lvl	   Dur    Skill	   Luck	   Life	   Exc     Set    Socket     Time	DW	DK	FE	MG	DL	SU	RF	GL	RW	SL	GC	KM	LM	IK		// Comment
3643        0		8		0		0		0		0		1		0		0		604800	0	0	0	0	0	0	1	0	0	0	0	0	0	0		// Sacred Fire Helm
4155        0		8		0		0		0		0		1		0		0		604800	0	0	0	0	0	0	1	0	0	0	0	0	0	0		// Sacred Fire Armor
4667        0		8		0		0		0		0		1		0		0		604800	0	0	0	0	0	0	1	0	0	0	0	0	0	0		// Sacred Fire Pants
32          0		8		0		1		0		0		1		0		0		604800	0	0	0	0	0	0	1	0	0	0	0	0	0	0		// Sacred Fire Gloves
