0
//Index   Name											TargetType   ScopeType   ScopeAngle   ScopeValue   Delay   Slot1   Slot2   Slot3   Slot4   Slot5
1         "Thunder Break"       						1            0           *            6            300     1       *       *       *       * 
2         "Bloody Wind"									1            0           *            6            300     14      7       *       *       * 
3         "Fire Ray"									1            0           *            6            300     11      *       *       *       * 
4         "Very"										1            *           *            0            300     17      23      *       *       * 
5         "Vampires Rick Touch"							1            *           *            0            300     3       *       *       *       * 
6         "Dark Elf - Group Address"					2            *           *            0            300     16      *       *       *       * 
7         "Dark Elf - Group Therapy"					2            *           *            0            300     13      *       *       *       * 
8         "Dark Elf - Geom"								1            *           *            0            300     1       *       *       *       * 
9         "Balram - The Direction"       				1            *           *            0            300     17      *       *       *       * 
10        "Death Spirit - Reduce Mana/AG"				1            *           *            0            300     3       4       *       *       * 
11        "Soram - Push"								1            0           *            6            300     7       *       *       *       * 
12        "Balgass - Direct Land Hit"					1            0           *            6            300     7       1       17      *       * 
13        "Balgass"										1            0           *            6            300     7       1       1       *       * 
14        "Kentauros - Multi Shot"						1            1           *            6            300     24      *       *       *       * 
15        "Persona - Demon"								1            0           *            6            300     25      *       *       *       * 
16        "Twin Tail - Hair Attack"       				1            *           *            0            300     26      27      *       *       * 
17        "Dread - 2 times a peer"       				1            *           *            0            300     28      *       *       *       * 
18        "Nightmare - Dog Attack"       				1            *           *            0            300     29      30      *       *       * 
19        "Nightmare - Pot like"						1            1           *            6            300     31      *       *       *       * 
20        "Nightmare - Summon"							2            *           *            0            300     *       *       *       *       * 
21        "Nightmare - Fire Jeans"						1            0           *            6            300     32      33      *       *       * 
22        "Nightmare - Warp"							2            *           *            0            300     34      *       *       *       * 
23        "Maya hand - Pressure"						1            0           *            6            300     35      36      37      *       * 
24        "Maya hand - Power Wave"       				1            1           *            6            300     38      *       *       *       * 
25        "Maya - Ice Storm"							1            *           *            0            300     39      40      *       *       * 
26        "Maya - Broken Shower"						1            *           *            0            300     41      42      *       *       * 
27        "Ghosts - Stern"								1            *           *            0            300     1       *       *       *       * 
28        "Ghost - dog"									1            *           *            0            300     8       1       *       *       * 
29        "Roar"										1            *           *            0            300     43      *       *       *       * 
30        "Break period"								1            *           *            0            300     44      *       *       *       * 
31        "Anger Strike"								1            0           *            2            300     45      *       *       *       * 
32        "Cooler Tin - Dog Ball"       				1            *           *            0            300     46      *       *       *       * 
33        "Blow"										1            *           *            0            300     47      *       *       *       * 
34        "Selupan - Poison Ball"       				1            0           *            6            300     48      *       *       *       * 
35        "Selupan - Frost Storm"       				1            0           *            8            300     49      *       *       *       * 
36        "Selupan - Frost Shock"       				1            0           *            6            300     50      *       *       *       * 
37        "Selupan - Fall"								1            0           *            4            300     51      *       *       *       * 
38        "Selupan - Recall"							2            *           *            0            300     52      *       *       *       * 
39        "Selupan - Healing"							2            *           *            0            300     53      *       *       *       * 
40        "Selupan - Icing"								1            *           *            0            300     54      *       *       *       * 
41        "Selupan - Teleportation"        				2            *           *            0            300     55      *       *       *       * 
42        "Selupan - Invincible"						2            *           *            0            300     56      *       *       *       * 
43        "Selupan - Berserk"							2            *           *            0            300     57      *       *       *       * 
44        "Shield bottle - Defense"       				2            *           *            0            300     58      *       *       *       * 
45        "Shield bottle - Shield"       				1            *           *            0            300     59      *       *       *       * 
46        "Healing Disease - Healing"					2            *           *            0            300     60      *       *       *       * 
47        "Quartermaster - Skill 01"       				1            0           *            6            300     61      *       *       *       * 
48        "Quartermaster - Skill 02"       				1            0           *            3            300     61      *       *       *       * 
49        "Combat Instructor - Skill 03"				1            1           *            10           300     61      *       *       *       * 
50        "Knight Commander - Skill 04"					1            *           *            0            300     61      62      *       *       * 
51        "Archmage - Pillar of Fire"					1            0           *            10           300     61      *       *       *       * 
52        "Archmage - Wide Meteorite"					1            0           *            10           300     61      59      *       *       * 
53        "Assassinated leader - Skill 06"				1            0           *            10           300     61      65      *       *       * 
54        "Riders GM - Earth Shakes"       				1            0           *            3            300     61      64      *       *       * 
55        "Riders GM - Bite"							1            *           *            0            300     61      62      *       *       * 
56        "Riders Director - Head of CEE"				1            *           *            0            300     61      66      59      *       * 
57        "Dessler - Blade Door"						1            0           *            10           300     61      *       *       *       * 
58        "Dessler - Skill 07"       					1            1           *            5            300     61      *       *       *       * 
//59      "Berserker Webzen Disabled"					2            *           *            0            300     67      68      *       *       * 
60        "Vermont - Skill 08"       					1            0           *            10           300     61      59      *       *       * 
61        "Vermont - Skill 09"       					1            0           *            10           300     61      69      *       *       * 
62        "El kaneu - Skill 14"       					1            0           *            6            300     61      *       *       *       * 
63        "El kaneu - Skill 15"       					1            0           *            3            300     61      64      *       *       * 
64        "Ion -Blood Attack"       					1            1           *            3            300     61      70      *       *       * 
65        "Ion - Gigantik Storm"       					1            0           *            5            300     61      72      *       *       * 
66        "Ion - Flame"       							1            1           *            5            300     61      73      *       *       * 
67        "Ion - General"       						1            *           *            0            300     71      *       *       *       * 
68        "Bloody Golem - Stern"       					1            *           *            0            300     47      74      *       *       * 
69        "Location Queen - Ice"       					1            *           *            0            300     47      9       5       *       * 
70        "Berserker - Stern Ball"       				1            *           *            0            300     47      74      6       *       * 
71        "Zeno Outsider - Stern"       				1            *           *            0            300     47      74      7       *       * 
72        "Safi Queen - Stern Room"       				1            *           *            0            300     47      74      5       *       * 
73        "Ice Nail Pin - Ice"       					1            *           *            0            300     47      9       7       *       * 
74        "Shadow Master - Stern"       				1            *           *            0            300     47      74      6       *       * 
75        "The Dark memeodeu - Solitary"     			1            *           *            0            300     47      27      6       *       * 
76        "The Dark Giant - Dokgong"       				1            *           *            0            300     47      27      5       *       * 
77        "Dark Iron Knight - Poison"      				1            *           *            0            300     47      74      27      *       * 
78        "Medusa - Curse Poison"       				1            0           *            10           300     75      *       *       *       * 
79        "Medusa - Chaotic"       						1            0           *            10           300     76      77      *       *       * 
80        "Medusa - Gigantik"       					1            0           *            10           300     72      77      *       *       * 
81        "Medusa - Evil"       						1            0           *            10           300     25      8       *       *       * 
82        "Salamander - 1 Hit Skill"       				1            *           *            0            300     78      *       *       *       * 
83        "Salamander - 2 Hits Kill"       				1            *           *            0            300     79      *       *       *       * 
84        "Salamander - German"       					1            *           *            0            300     80      81      *       *       * 
85        "Undine - 1 Hit Skill"       					1            *           *            0            300     82      *       *       *       * 
86        "Undine - Skill Strikes 2"       				1            *           *            0            300     83      *       *       *       * 
87        "Undine - Ice"       							1            *           *            0            300     84      85      *       *       * 
88        "Gnome - skill Hit 1"       					1            *           *            0            300     86      *       *       *       * 
89        "Gnome - Strike 2 Skill"       				1            *           *            0            300     87      *       *       *       * 
90        "Gnome - Stun"       							1            *           *            0            300     88      89      *       *       * 
91        "Silpideu - 1 Hit Skill"       				1            *           *            0            300     90      *       *       *       * 
92        "Silpideu - Skill Strikes 2"       			1            *           *            0            300     91      *       *       *       * 
93        "Silpideu - Push"       						1            *           *            0            300     92      93      *       *       * 
94        "Hill Lhasa - Hitting one Skill" 				1            *           *            0            300     94      *       *       *       * 
95        "Hill Lhasa - Hitting Skills 2"				1            *           *            0            300     95      *       *       *       * 
96        "Hill Lhasa - HP loss"       					1            *           *            0            300     96      97      *       *       * 
97        "Lord Silvester - General Strike"				3            *           *            0            300     98      102     *       *       * 
98        "Lord Silvester - Wind whirlwind"				1            *           *            0            300     99      104     *       *       * 
