//|================================================================|
//| CashShop Editor  - Season 18                                   |
//| By OMEGA and Oliveira                                          |
//|================================================================|
//Cat	ID	Main	Item	Coin	Price	Bonus	isGift	PBase1	PBase2	PBase3	PBase4	PBase5	PBase6	PBase7	PBase8	PBase9	PBase10	PMain1	PMain2	PMain3	PMain4	PMain5	PMain6	PMain7	PMain8	PMain9	PMain10	Comment
31	101	101	1	508	150	0	1	1010	0	0	0	0	0	0	0	0	0	1010	0	0	0	0	0	0	0	0	0	// Magic Backpack
31	102	102	1	508	200	0	1	1020	0	0	0	0	0	0	0	0	0	1020	0	0	0	0	0	0	0	0	0	// Vault Expansion Certificate
31	103	103	1	508	100	0	1	1030	0	0	0	0	0	0	0	0	0	1030	0	0	0	0	0	0	0	0	0	// Indulgence
31	104	104	1	508	100	0	1	1040	0	0	0	0	0	0	0	0	0	1040	0	0	0	0	0	0	0	0	0	// Talisman Element Change
31	105	105	1	508	75	0	1	1050	0	0	0	0	0	0	0	0	0	1050	0	0	0	0	0	0	0	0	0	// Blessing of Spirit
31	106	106	1	508	995	0	1	1060	0	0	0	0	0	0	0	0	0	1060	0	0	0	0	0	0	0	0	0	// Expansion Scroll of Radiance slot
31	107	107	1	508	75	0	1	1070	0	0	0	0	0	0	0	0	0	1070	0	0	0	0	0	0	0	0	0	// Tradeable Seal
31	108	108	1	508	25	0	1	1080	0	0	0	0	0	0	0	0	0	1080	0	0	0	0	0	0	0	0	0	// Coin of Miracle
31	109	109	1	508	55	0	1	1090	0	0	0	0	0	0	0	0	0	1090	0	0	0	0	0	0	0	0	0	// Talisman of Item Protection
31	110	110	1	508	15	0	1	1100	0	0	0	0	0	0	0	0	0	1100	0	0	0	0	0	0	0	0	0	// Silver Key
31	111	111	1	508	20	0	1	1110	0	0	0	0	0	0	0	0	0	1110	0	0	0	0	0	0	0	0	0	// Gold Key
31	112	112	1	508	20	0	1	1120	0	0	0	0	0	0	0	0	0	1120	0	0	0	0	0	0	0	0	0	// Elite Healing Potion
31	113	113	1	508	20	0	1	1130	0	0	0	0	0	0	0	0	0	1130	0	0	0	0	0	0	0	0	0	// Elite Mana Potion
31	114	114	1	508	20	0	1	1140	0	0	0	0	0	0	0	0	0	1140	0	0	0	0	0	0	0	0	0	// Elite SD Potion
32	100	100	1	508	150	0	1	10000	10001	10003	10002	0	0	0	0	0	0	10000	10001	10003	10002	0	0	0	0	0	0	// Regular EXP Pack (1 Day)
32	228	228	1	508	950	0	1	10005	10004	10007	10006	0	0	0	0	0	0	10005	10004	10007	10006	0	0	0	0	0	0	// Master EXP Pack (7 Days)
32	229	229	1	508	2250	0	1	10008	10009	10010	10011	0	0	0	0	0	0	10008	10009	10010	10011	0	0	0	0	0	0	// Master EXP Pack (30 Days)
32	230	230	1	508	90	0	1	10012	10013	10014	10015	10016	10017	0	0	0	0	10012	10013	10014	10015	10016	10017	0	0	0	0	// Regular Buffs Pack (1 Day)
32	231	231	1	508	600	0	1	10018	10025	10019	10023	10024	0	0	0	0	0	10018	10025	10019	10023	10024	0	0	0	0	0	// Master Buffs Pack (7 Days)
32	232	232	1	508	2250	0	1	10026	10027	10028	10029	10030	0	0	0	0	0	10026	10027	10028	10029	10030	0	0	0	0	0	// Master Buffs Pack (30 Days)
33	163	163	1	508	500	0	1	1630	0	0	0	0	0	0	0	0	0	1630	0	0	0	0	0	0	0	0	0	// MU Pass Ticket
33	187	187	1	508	1500	0	1	1870	0	0	0	0	0	0	0	0	0	1870	0	0	0	0	0	0	0	0	0	// Gold Pass Ticket
33	188	188	1	508	3000	0	1	1880	0	0	0	0	0	0	0	0	0	1880	0	0	0	0	0	0	0	0	0	// Premium Pass Ticket
34	130	130	1	508	15	0	1	1300	0	0	0	0	0	0	0	0	0	1300	0	0	0	0	0	0	0	0	0	// Scroll of Quickness
34	131	131	1	508	15	0	1	1310	0	0	0	0	0	0	0	0	0	1310	0	0	0	0	0	0	0	0	0	// Scroll of Defense
34	132	132	1	508	15	0	1	1320	0	0	0	0	0	0	0	0	0	1320	0	0	0	0	0	0	0	0	0	// Scroll of Wrath
34	133	133	1	508	15	0	1	1330	0	0	0	0	0	0	0	0	0	1330	0	0	0	0	0	0	0	0	0	// Scroll of Wizardry
34	134	134	1	508	15	0	1	1340	0	0	0	0	0	0	0	0	0	1340	0	0	0	0	0	0	0	0	0	// Scroll of Health
34	135	135	1	508	15	0	1	1350	0	0	0	0	0	0	0	0	0	1350	0	0	0	0	0	0	0	0	0	// Scroll of Mana
34	136	136	1	508	15	0	1	1360	0	0	0	0	0	0	0	0	0	1360	0	0	0	0	0	0	0	0	0	// Scroll of Battle
34	137	137	1	508	15	0	1	1370	0	0	0	0	0	0	0	0	0	1370	0	0	0	0	0	0	0	0	0	// Scroll of Strength
35	138	138	1	508	40	0	1	1380	0	0	0	0	0	0	0	0	0	1380	0	0	0	0	0	0	0	0	0	// Demon
35	139	139	1	508	30	0	1	1390	0	0	0	0	0	0	0	0	0	1390	0	0	0	0	0	0	0	0	0	// Spirit of Guardian
35	140	140	1	508	30	0	1	1400	0	0	0	0	0	0	0	0	0	1400	0	0	0	0	0	0	0	0	0	// Pet Panda
35	141	141	1	508	40	0	1	1410	0	0	0	0	0	0	0	0	0	1410	0	0	0	0	0	0	0	0	0	// Pet Skeleton
35	142	142	1	508	30	0	1	1420	0	0	0	0	0	0	0	0	0	1420	0	0	0	0	0	0	0	0	0	// Pet Unicorn
