//===================================================================================================================================
//Type 0 = Weapons
//Type 10 = Shield 
//Type 11 = Shield Elemental Elf
//===================================================================================================================================
0
//Section    Type   Option1   Option2  Option3   Option4  Option5    Option6   BonusOption    OptionRate   LuckRate   SkillRate
//Bloodangel Sword
0	     42	    0	      3	       *	 *	  *	     *	       *	      200000	   250000    1000000
0	     42	    0	      6	       *	 *	  *	     *	       *	      160000	   250000     1000000
0	     42	    0	      7	       *	 *	  *	     *	       *	      160000	   250000     1000000
0	     42	    0	      4	       *	 *	  *	     *	       *	      160000	   250000     1000000
0	     42	    0	      5	       *	 *	  *	     *	       *	      160000	   250000     1000000
0	     42	    0	      3	       6	 *	  *	     *	       *	      160000	   50000     1000000

//Bloodangel Magic Sword
0	     44	    0	      3	       *	 *	  *	     *	       *	      200000	   250000    1000000
0	     44	    0	      6	       *	 *	  *	     *	       *	      160000	   250000     1000000
0	     44	    0	      7	       *	 *	  *	     *	       *	      160000	   250000     1000000
0	     44	    0	      4	       *	 *	  *	     *	       *	      160000	   250000     1000000
0	     44	    0	      5	       *	 *	  *	     *	       *	      160000	   250000     1000000
0	     44	    0	      3	       6	 *	  *	     *	       *	      160000	   50000     1000000


//Blood Angel Magic Two Hand Sword
0	     89	    0	      3	       *	 *	  *	     *	       *	      200000	   250000    1000000
0	     89	    0	      6	       *	 *	  *	     *	       *	      160000	   250000     1000000
0	     89	    0	      7	       *	 *	  *	     *	       *	      160000	   250000     1000000
0	     89	    0	      4	       *	 *	  *	     *	       *	      160000	   250000     1000000
0	     89	    0	      5	       *	 *	  *	     *	       *	      160000	   250000     1000000
0	     89	    0	      3	       6	 *	  *	     *	       *	      160000	   50000     1000000
//Bloodangel Claws
0	     46	    0	      3	       *	 *	  *	     *	       *	      200000	   250000    1000000
0	     46	    0	      6	       *	 *	  *	     *	       *	      160000	   250000     1000000
0	     46	    0	      7	       *	 *	  *	     *	       *	      160000	   250000     1000000
0	     46	    0	      4	       *	 *	  *	     *	       *	      160000	   250000     1000000
0	     46	    0	      5	       *	 *	  *	     *	       *	      160000	   250000     1000000
0	     46	    0	      3	       6	 *	  *	     *	       *	      160000	   50000     1000000
//Bloodangel Claws
0	     59	    0	      3	       *	 *	  *	     *	       *	      200000	   250000    1000000
0	     59	    0	      6	       *	 *	  *	     *	       *	      160000	   250000     1000000
0	     59	    0	      7	       *	 *	  *	     *	       *	      160000	   250000     1000000
0	     59	    0	      4	       *	 *	  *	     *	       *	      160000	   250000     1000000
0	     59	    0	      5	       *	 *	  *	     *	       *	      160000	   250000     1000000
0	     59	    0	      3	       6	 *	  *	     *	       *	      160000	   50000     1000000
//Bloodangel Short Sword
0	     71	    0	      3	       *	 *	  *	     *	       *	      200000	   250000    1000000
0	     71	    0	      6	       *	 *	  *	     *	       *	      160000	   250000     1000000
0	     71	    0	      7	       *	 *	  *	     *	       *	      160000	   250000     1000000
0	     71	    0	      4	       *	 *	  *	     *	       *	      160000	   250000     1000000
0	     71	    0	      5	       *	 *	  *	     *	       *	      160000	   250000     1000000
0	     71	    0	      3	       6	 *	  *	     *	       *	      160000	   50000     1000000
//Bloodangel Blade
