//Index   Stage   Value   ItemRate   ItemIndex   ItemCount   BonusItemRate   BonusItemIndex   BonusItemCount
605       1       2       4750       7181        1           *               *                *
605       2       2       4750       7181        3           *               *                *
605       3       2       4750       7181        7           *               *                *
605       4       2       4750       7181        16          *               *                *
605       5       2       4750       7181        33          250             7181             100
606       1       4       4750       7181        2           *               *                *
606       2       4       4750       7181        6           *               *                *
606       3       4       4750       7181        15          *               *                *
606       4       4       4750       7181        34          *               *                *
606       5       4       4750       7181        67          190             7181             400
607       1       8       4750       7181        4           *               *                *
607       2       8       4750       7181        12          *               *                *
607       3       8       4750       7181        29          *               *                *
607       4       8       4750       7181        65          *               *                *
607       5       8       4750       7181        125         180             7181             1000
end
