0
//Index   Year   Month   Day   DoW   Hour   Minute   Second
0         *      *       *     *     0      5        0
0         *      *       *     *     4      5        0
0         *      *       *     *     8      5        0
0         *      *       *     *     12     5        0
0         *      *       *     *     16     5        0
0         *      *       *     *     20     5        0
1         *      *       *     *     0      15       0
1         *      *       *     *     4      15       0
1         *      *       *     *     8      15       0
1         *      *       *     *     12     15       0
1         *      *       *     *     16     15       0
1         *      *       *     *     20     15       0
2         *      *       *     *     0      25       0
2         *      *       *     *     4      25       0
2         *      *       *     *     8      25       0
2         *      *       *     *     12     25       0
2         *      *       *     *     16     25       0
2         *      *       *     *     20     25       0
3         *      *       *     *     0      50       0
3         *      *       *     *     4      50       0
3         *      *       *     *     8      50       0
3         *      *       *     *     12     50       0
3         *      *       *     *     16     50       0
3         *      *       *     *     20     50       0
4         *      *       *     *     2      5        0
4         *      *       *     *     6      5        0
4         *      *       *     *     10     5        0
4         *      *       *     *     14     5        0
4         *      *       *     *     18     5        0
4         *      *       *     *     22     5        0
5         *      *       *     *     2      15       0
5         *      *       *     *     6      15       0
5         *      *       *     *     10     15       0
5         *      *       *     *     14     15       0
5         *      *       *     *     18     15       0
5         *      *       *     *     22     15       0
6         *      *       *     *     2      25       0
6         *      *       *     *     6      25       0
6         *      *       *     *     10     25       0
6         *      *       *     *     14     25       0
6         *      *       *     *     18     25       0
6         *      *       *     *     22     25       0
7         *      *       *     *     2      50       0
7         *      *       *     *     6      50       0
7         *      *       *     *     10     50       0
7         *      *       *     *     14     50       0
7         *      *       *     *     18     50       0
7         *      *       *     *     22     50       0
8         *      *       *     *     1      0        0
8         *      *       *     *     5      0        0 
8         *      *       *     *     9      0        0
8         *      *       *     *     13     0        0
8         *      *       *     *     17     0        0
8         *      *       *     *     21     0        0
end

1
//Index   RespawnMessage   DespawnMessage   BossIndex   BossMessage   InvasionTime	Comment
0         		0              *                55          9           600		//Underworld
1         		1              *                42          10          600		//Red Dragon
2         		2              *                501         11          600		//Golden
3         		3              *                135         12          600		//White Wizard
4         		4              *                *           *           600		//New Year
5         		5              *                *           *           600		//Easter
6         		6              *                *           *           600		//Summer
7         		7              *                476         13          600		//Christmas
8         		8              *                561         14          600		//Medusa

2
//Index   Group   Value
0         0       0
0         0       0  
0         0       1
0         0       1 
1         0       0  
1         0       1  
1         0       2     
2         0       0   
2         1       0   
2         2       0    
2         3       0    
2         4       0    
2         4       1     
2         4       2    
2         4       3     
2         5       0     
2         6       0     
2         7       0     
2         8       0    
2         9       0    
2         10      0     
2         11      0     
2         12      0     
2         13      0     
2         14      0   
2         15      0     
2         16      0     
2         17      0      
2         17      1      
2         18      0    
3         0       0      
3         0       0     
3         0       0   
3         0       1   
3         0       1  
3         0       1   
3         0       2  
3         0       2    
3         0       2     
4         0       0   
4         0       1   
4         0       2    
4         0       3   
4         0       4     
4         0       5      
5         0       0     
5         0       1   
5         0       2      
5         0       3  
5         0       4  
5         0       5     
6         0       0     
6         0       1      
6         0       2    
6         0       3     
6         0       4    
6         0       5     
7         0       0      
7         0       0     
7         0       1     
7         0       1      
7         0       2      
7         0       2    
8         0       0 
8         0       0  
8         0       1   
8         0       1      
8         0       2      
8         0       2     
8         0       3    
8         0       3      
end

3
//Index   Group   Value   Class   Count   MapN   MapSX   MapSY   MapTX   MapTY   RegenType   RegenTime   Comment
0         0       0       55      1       0      125     190     140     203     0           0           //Death King
0         0       0       56      10      0      125     190     140     203     0           0           //Death Bone
0         0       1       55      1       3      195     70      205     86      0           0           //Death King
0         0       1       56      10      3      195     70      205     86      0           0           //Death Bone
1         0       0       42      1       0      10      10      240     240     0           0           //Red Dragon
1         0       1       42      1       2      10      10      240     240     0           0           //Red Dragon
1         0       2       42      1       3      10      10      240     240     0           0           //Red Dragon
2         0       0       43      5       0      10      10      240     240     0           0           //Golden Budge Dragon
2         1       0       53      5       2      10      10      240     240     0           0           //Golden Titan
2         2       0       54      5       2      10      10      240     240     0           0           //Golden Soldier
2         3       0       78      5       3      10      10      240     240     0           0           //Golden Goblin
2         4       0       79      1       0      10      10      240     240     0           0           //Golden Derkon
2         4       1       79      1       2      10      10      240     240     0           0           //Golden Derkon
2         4       2       79      1       3      10      10      240     240     0           0           //Golden Derkon
2         4       3       79      1       51     10      10      240     240     0           0           //Golden Derkon
2         5       0       80      3       7      10      10      240     240     0           0           //Golden Lizard King
2         6       0       81      5       7      10      10      240     240     0           0           //Golden Vepar
