// ----------------------------------------------------------------------------------
//Type	Index	Level	Dur	Skill	Luck	Opt	Exc	Name
// ----------------------------------------------------------------------------------
8	0	3	0	0	1	1	0	// Bronze Armor
7	0	3	0	0	1	1	0	// Bronze Helm
9	0	3	0	0	1	1	0	// Bronze Pants
10	0	3	0	0	1	1	0	// Bronze Gloves
11	0	3	0	0	1	1	0	// Bronze Boots		
15      2       0       0       0       0       0       0       // Lightning
15      1       0       0       0       0       0       0       // Meteorite	
15      4       0       0       0       0       0       0       // Flame
15      7       0       0       0       0       0       0       // Twister
12	13	0	0	0	0	0	0	// Impale
12	7	0	0	0	0	0	0	// Twisting Slash
7	4	3	0	0	1	1	0	// Bone Helm
8	4	3	0	0	1	1	0	// Bone Armor
9	4	3	0	0	1	1	0	// Bone Pants
10	4	3	0	0	1	1	0	// Bone Gloves
11	4	3	0	0	1	1	0	// Bone Boots
6	1	3	0	0	1	1	0	// Horn Shield
5	1	3	0	0	1	1	0	// Angelic Staff
0	5	3	0	1	1	1	0	// Blade
0	6	3	0	1	1	1	0	// Gladius
end
