// ----------------------------------------------------------------------------------
//Type	Index	Level	Dur	Skill	Luck	Option	Exc	Name
// ----------------------------------------------------------------------------------
8	5	3	0	0	1	1	0	// Leather Armor
7	5	3	0	0	1	1	0	// Leather Helm
9	5	3	0	0	1	1	0	// Leather Pants
10	5	3	0	0	1	1	0	// Leather Gloves
11	5	3	0	0	1	1	0	// Leather Boots
0	32	3	0	1	1	1	0	// Sacred Glove
0	32	3	0	1	1	1	0	// Sacred Glove
15	32	0	0	0	0	0	0	// Dragon Roar
15	33	0	0	0	0	0	0	// Dragon Slayer
end
